main_id,ra,dec,otype,framework_id
[RRB2014] RM J021435.8+310434.7,33.64916666666667,31.07611111111111,ClG,2634435825976081479
[RRB2014] RM J004145.7-030901.1,10.44,-3.1502777777777777,ClG,-5676074305547817882
[RRB2014] RM J114910.3+320736.3,177.2925,32.126666666666665,ClG,1697259622772359587
[RRB2014] RM J125456.4+211821.4,193.73458333333332,21.30583333333333,ClG,3313669216630717016
[RRB2014] RM J084906.6+323132.7,132.27708333333334,32.52555555555556,ClG,-2292595557667260020
[RRB2014] RM J160600.2+545854.5,241.5004166666667,54.98166666666667,ClG,1793620924950855128
[RRB2014] RM J003638.5+053644.1,9.160416666666666,5.612222222222222,ClG,-7061389909883260600
[RRB2014] RM J110522.9-010305.1,166.345,-1.051388888888889,ClG,8599730344002507269
[KMA2007] 224.83717+37.23938,224.84,37.25388888888889,ClG,917154547981634143
[RRB2014] RM J021739.8-091653.4,34.415416666666665,-9.28138888888889,ClG,-3035916913485269669
[RRB2014] RM J223907.3+291730.9,339.78,29.291666666666668,ClG,-443138440232906772
[OSD99] EIS J2243-4010B,340.92791666666665,-40.17511111111111,ClG,-3624596979981105600
[KMA2007] 187.82480+63.03465,187.8245833333333,63.03472222222222,ClG,1852986868519418670
[RRB2014] RM J232156.5-050233.2,350.48541666666665,-5.0425,ClG,7472366398816248827
[RRB2014] RM J120436.7+043437.7,181.1525,4.576944444444444,ClG,7369823319525226404
[RRB2014] RM J090930.5+100021.1,137.3766666666667,10.005833333333332,ClG,-5485155105599217863
[KMA2007] 150.75055+51.38406,150.75041666666667,51.38388888888889,ClG,-5347766383371790607
[KMA2007] 208.51063+33.85164,208.51041666666669,33.85138888888889,ClG,3874792994608346678
[RRB2014] RM J013616.6-063947.7,24.069166666666668,-6.663055555555556,ClG,3475814770495497835
[RRB2014] RM J010534.8+125603.5,16.39458333333333,12.934166666666666,ClG,3855957791510847828
[RRB2014] RM J172819.7+340850.9,262.08208333333334,34.14722222222222,ClG,6987063521125832968
[RRB2014] RM J224042.4+271213.6,340.17625,27.203611111111112,ClG,3767516471298797054
[RRB2014] RM J073513.9+210259.1,113.80791666666666,21.049722222222226,ClG,5254105512626855693
[RRB2014] RM J172555.9+360901.2,261.4829264,36.1503276,ClG,6594583731429573822
[GMB2011] 916,334.798209,0.746212,ClG,-1637271819676811280
[RRB2014] RM J154209.3+075419.9,235.53875,7.905277777777778,ClG,-9133661843302099663
[KMA2007] 235.60805+54.51107,235.60791666666665,54.51111111111111,ClG,1371418763117939474
[RRB2014] RM J005326.8+164609.7,13.36125,16.769166666666667,ClG,4277975969782051320
[KMA2007] 007.61220-00.94288,7.612197900000001,-0.9428910000000004,ClG,3222666654028412217
[KMA2007] 240.39341+42.75902,240.3933333333333,42.75888888888889,ClG,-9085422939454977659
[RRB2014] RM J155639.3+042838.5,239.16375,4.477222222222222,ClG,-3590922892712520931
[RRB2014] RM J080614.2+263338.6,121.55916666666668,26.56055555555556,ClG,-3745285908053612160
[KMA2007] 342.77154+13.70581,342.77125,13.705555555555556,ClG,8508567771703184121
[RRB2014] RM J002847.4+172752.6,7.1970833333333335,17.464444444444442,ClG,831361808408273585
[RRB2014] RM J000826.7+320428.8,2.1108333333333333,32.074444444444445,ClG,8342293515601211899
[RRB2014] RM J082639.5+333326.1,126.66458333333335,33.55722222222222,ClG,8828546198484848045
[RRB2014] RM J165656.5+395830.1,254.23541666666665,39.975,ClG,-5261745797665595187
[KMA2007] 130.95513+08.73895,130.95499999999998,8.738888888888889,ClG,-5517066202208462805
[RRB2014] RM J024624.9-065948.1,41.60333333333334,-6.996666666666667,ClG,4548925158930415387
[KMA2007] 204.89937+40.64718,204.89916666666667,40.64694444444444,ClG,4131610566461753116
[SPD2011] 9925,220.3974,8.6812,ClG,-706466828703371860
[RRB2014] RM J015750.2-030734.8,29.459166666666665,-3.1261111111111117,ClG,6186633442088029442
[RRB2014] RM J003412.4-085038.7,8.55125,-8.84388888888889,ClG,-646609469048008393
[RRB2014] RM J234349.8+334318.6,355.9575,33.72166666666667,ClG,-3674311860503000939
[RRB2014] RM J003010.4+170645.9,7.543333333333332,17.1125,ClG,-5269465173915591815
[RRB2014] RM J160308.2+062900.6,240.78375,6.483333333333333,ClG,3888354684538188545
[RRB2014] RM J235717.8+214202.3,359.32375,21.700555555555557,ClG,-8356038795056392455
[RRB2014] RM J122904.4+450102.1,187.268213,45.0172559,ClG,-1090851544628366933
[KMA2007] 208.29890+20.89072,208.29875,20.890555555555554,ClG,-5145638763695321497
[KMA2007] 146.21716+20.18296,146.2170833333333,20.18277777777778,ClG,-6543146776439354053
[RRB2014] RM J000412.7+195147.5,1.0529166666666665,19.86305555555556,ClG,2458859011384121698
[RRB2014] RM J235803.2+324206.3,359.51333333333326,32.70166666666667,ClG,-7488980723711487425
[RRB2014] RM J155845.9+213856.7,239.69125,21.648888888888887,ClG,-3660457274030075473
[KMA2007] 176.76791+59.71520,176.76749999999998,59.71527777777778,ClG,8593625671578424373
[RRB2014] RM J014343.0+260611.1,25.928750000000004,26.10305555555556,ClG,5115318260605671032
[RRB2014] RM J093402.3+275138.3,143.50958333333332,27.86055555555556,ClG,7519556860336915579
[RRB2014] RM J221959.2-035705.3,334.99625000000003,-3.951388888888889,ClG,6512578717282376959
[RRB2014] RM J093001.2+562245.8,142.50499999999997,56.37916666666667,ClG,1043623407452749108
[RRB2014] RM J000756.3-045558.3,1.9845833333333327,-4.932777777777778,ClG,181031359590463256
