PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
240806,00 01 59.5,-76 16 16,G,0,0.54,0.23,55.0,0,8590175188202475097,3428558392690868580
107666,00 01 59.5,-39 15 36,G,0,0.0,0.0,0.0,LCRSB235925.8-393218,-7755100746713585760,2881083010386299482
1640217,00 01 59.5,+20 59 09,G,0,0.56,0.23,5.0,0,-9123984248045447199,-3884700655543288839
768661,00 01 59.6,-26 21 41,G,0,0.4,0.22,81.0,0,97027070013828856,-6864903143391370856
198101,00 01 59.6,-26 52 28,G,0,0.6,0.07,156.0,DUKST537-44,6712496036999279575,3175538399752656821
596614,00 01 59.7,-39 34 25,G,0,0.37,0.15,36.0,0,767424337488585047,-8064203743758897103
2493118,00 01 59.7,+55 10 34,G,0,0.5,0.23,86.0,0,-8176292971088908315,-1713983090108928235
473823,00 01 59.9,-49 43 51,G,0,0.71,0.51,111.0,0,3613491054574841593,6937979462223777035
656611,00 01 59.9,-34 51 29,G,0,0.49,0.11,32.0,0,5003491877443224908,-5739959477867305956
737994,00 01 59.9,-28 44 37,G,0,0.62,0.36,74.0,0,-7581752214855672753,8995658266415124836
756230,00 02 00.0,-27 21 15,G,0,0.42,0.05,0.0,0,2353054173733439044,-5211194850065101294
2505394,00 02 00.1,+55 31 51,G,0,0.86,0.15,117.0,0,6415794798915664812,4471748531800110117
2104370,00 02 00.2,+37 35 09,G,0,0.48,0.15,112.0,0,-1604137283765711758,6868888986071549680
662409,00 02 00.2,-34 25 57,G,0,0.52,0.28,121.0,0,-1111324620529382975,-3732755782403716983
124815,00 02 00.3,-39 21 22,G,Sc,1.0,0.77,93.0,LCRSB235926.7-393804  DUKST348-36,-1618898029608753679,-8315205465235509322
860714,00 02 00.3,-19 01 42,G,0,0.32,0.08,99.0,0,3230617968308636232,7151655720927646844
782549,00 02 00.4,-25 06 40,G,0,0.38,0.09,84.0,0,2458457924794167840,2989500406393580865
508506,00 02 00.4,-46 57 30,G,0,0.33,0.09,38.0,0,-1519678456505409829,4813468634062501084
830072,00 02 00.4,-21 18 00,G,0,0.52,0.4,152.0,0,5305364188470783142,3262223863297580591
2138596,00 02 00.4,+38 52 35,G,0,0.57,0.2,55.0,0,3640802876290592981,1819464202968243278
547910,00 02 00.5,-43 30 33,G,0,0.4,0.21,28.0,0,-8874354726136011073,-5585431092600865187
623014,00 02 00.5,-37 26 49,G,0,0.43,0.25,1.0,0,918545822292531873,-9096665869945976798
143200,00 02 00.6,-51 57 42,G,0,0.6,0.2,33.0,0,849706463794504071,-1572969683743445486
597981,00 02 00.6,-39 27 38,G,0,0.56,0.15,161.0,0,-7394443019766714505,8927171778430134913
889870,00 02 00.6,-17 01 49,G,0,0.39,0.2,36.0,0,2417217901202881445,-2067460886621270884
1473247,00 02 00.8,+15 01 32,G,0,0.57,0.1,15.0,NPM1G+14.0602,2784571094038080792,-7134665978044298675
439377,00 02 00.8,-52 44 26,G,0,0.73,0.42,120.0,0,-5972407012579424500,4317345496902602001
1432334,00 02 00.8,+13 29 27,G,0,0.52,0.15,124.0,0,7297656655914584977,1610424981641889166
832077,00 02 00.8,-21 08 48,G,0,0.54,0.46,16.0,0,2010586606019385132,-5540696324325391403
1987608,00 02 00.9,+32 14 36,G,0,0.57,0.1,125.0,0,-4263511699038805624,-623075709120566217
489477,00 02 00.9,-48 15 04,G,0,0.55,0.19,71.0,0,-7599745454206248845,-7361253788238035505
142418,00 02 00.9,-27 40 39,G,0,0.74,0.2,115.0,0,-6571609346842770131,-7657728831326659495
1145711,00 02 01.0,-00 20 36,G,0,0.52,0.26,25.0,0,5529004270035580545,7491395572289116880
93037,00 02 01.0,+37 03 13,G,0,0.74,0.67,115.0,FGCA291,95331903005276644,-1338770970378176076
124816,00 02 01.0,-38 52 53,G,0,0.0,0.0,0.0,LCRSB235927.4-390935,6226339112596342800,-483643966796119668
1240136,00 02 01.0,+02 53 26,G,0,0.62,0.18,25.0,NPM1G+02.0586,-223334585232941474,-803053803035624811
100354,00 02 01.2,+14 58 37,G,E,0.56,0.0,0.0,0,-6687561078596511050,8626419987126571149
1540097,00 02 01.4,+17 43 45,G,0,0.53,0.21,82.0,NPM1G+17.0770,-2123942041011592563,-8810349622314335471
897980,00 02 01.4,-16 27 07,G,0,0.69,0.47,117.0,0,5813800168192260286,-2081914222240936606
901167,00 02 01.5,-16 12 09,G,0,0.48,0.21,159.0,0,-1697634206988156806,-8332490209758867706
73210,00 02 01.6,+07 52 50,G,Sc,0.82,0.64,0.0,KUG2359+07670,2852379042963905920,-6774030015628853343
782615,00 02 01.6,-25 06 20,G,0,0.58,0.44,142.0,0,-9140435601993553513,3524082330130838156
1130358,00 02 01.6,-00 57 41,G,0,0.49,0.12,28.0,0,2640644078274370929,-4037272088263367185
656245,00 02 01.7,-34 52 56,G,0,0.69,0.17,126.0,0,3230829863052591542,3376381322637721297
712637,00 02 01.7,-30 48 50,G,0,0.58,0.5,53.0,0,-8431481251097705872,-319899859914333997
330035,00 02 01.7,-63 41 49,G,0,0.46,0.18,4.0,0,-8616818716323542922,5350850684600891836
510381,00 02 01.7,-46 48 40,G,0,0.33,0.11,92.0,0,-6258113368199251782,-3936972242001677680
365109,00 02 01.9,-60 13 23,G,0,0.66,0.75,100.0,0,-2970719577886134905,-7646386583581174545
482800,00 02 02.0,-48 52 29,G,0,0.63,0.1,84.0,0,7081442671993523665,-2643334436177418779
2759744,00 02 02.0,+74 03 34,G,0,0.52,0.25,52.0,0,-3019723960260391086,-2654445584494209702
740770,00 02 02.1,-28 30 52,G,0,0.46,0.22,169.0,0,-4829975804354189135,4360630364871706208
1015295,00 02 02.2,-07 39 14,G,0,0.63,0.38,74.0,0,-1916269585743236487,-5366516456372925548
130005,00 02 02.2,-43 37 17,G,SO-a,0.78,0.21,11.0,0,-8572986371459113366,-3706249918146132622
411754,00 02 02.3,-55 11 45,G,0,0.35,0.09,135.0,0,-6363935399995179040,5007532000817446246
653041,00 02 02.3,-35 07 18,G,0,0.55,0.2,126.0,0,-6838782023745630274,7709468320930499307
421579,00 02 02.4,-54 13 31,G,0,0.35,0.15,133.0,0,2095567566112247834,4999714658389348120
1018574,00 02 02.4,-07 27 46,G,0,0.63,0.25,11.0,0,3675514860202004886,1706538108334103545
600510,00 02 02.4,-39 13 29,G,0,0.35,0.05,12.0,0,7342800285698979054,9050320305790910455
2796245,00 02 02.5,+58 12 11,G,0,0.12,0.12,0.0,ZOAG116.45-4.05,4541767304713408905,968590781432131555
2023569,00 02 02.6,+33 06 32,G,0,0.45,0.08,160.0,0,2574047754974513002,-3641665286946312210
135593,00 02 02.6,-27 15 15,G,0,0.68,0.07,83.0,DUKST409-36,1622358633195655621,7104888280955322899
516345,00 02 02.6,-46 19 30,G,0,0.56,0.18,116.0,0,5435450169969965543,-5281670253719437052
571716,00 02 02.7,-41 48 53,G,0,0.41,0.21,174.0,0,-6472608573146857576,-1333592562679358824
781256,00 02 02.7,-25 13 51,G,0,0.44,0.11,102.0,0,6855796805130140521,662556372087380678
