WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00447-0119,LDS5291,0,1960,2015,111,110,138.0,171.0,14.21,14.51,0,0,0,00 44 42.95,-01 20 18.3,00 44 42.95,-01 20 18.3,-4902502889418883036,-6157922161050813174
00447-2136,DON  11,0,1929,2016,196,196,3.1,3.4,10.52,11.2,-22  126,0,0,00 44 41.29,-21 36 02.0,00 44 41.29,-21 36 02.0,-7415610369870629240,5806654833354431174
00447-5006,TDS  27,0,1991,1991,63,63,0.9,0.9,11.04,12.56,-50  184,X,0,00 44 40.03,-50 05 30.5,00 44 40.03,-50 05 30.5,6347430548522698756,2516947277728364030
00448+7700,HU 1014,0,1904,2021,170,157,0.7,0.8,9.98,10.16,+76   23,0,0,00 44 48.07,+76 59 38.2,00 44 48.07,+76 59 38.2,-8869110166018257484,-2545436682018336457
00448+6344,STI 122,0,1906,2016,106,118,3.4,2.7,11.2,11.9,0,S,0,00 44 48.30,+63 43 30.9,00 44 48.30,+63 43 30.9,-2280813682171001328,-1997167783718847361
00448+6019,A   919,AB,1905,2008,145,159,0.5,0.3,9.36,9.5,+59  111,0,0,00 44 50.34,+60 18 33.1,00 44 50.34,+60 18 33.1,-8376791382804489180,-7130524055993461137
00448+6019,A   919,"AB,C",1905,2015,50,49,83.0,81.1,8.68,12.56,0,0,0,00 44 50.34,+60 18 33.1,00 44 50.34,+60 18 33.1,-8325004593730310901,2448799080217593735
00448+6019,A   919,CD,1905,2016,40,38,2.3,2.9,12.5,14.0,0,0,0,00 44 58.66,+60 19 26.5,00 44 58.66,+60 19 26.5,-8674776111132900784,4583968990369871394
00448+5833,STI1423,AB,1911,2015,175,169,12.0,13.2,12.5,12.5,0,0,0,00 44 47.71,+58 33 19.6,00 44 47.71,+58 33 19.6,3826214253369270968,-3223431160604298602
00448+5833,BKO 137,BC,2000,2015,268,268,12.8,12.8,12.5,13.1,0,0,0,00 44 48.05,+58 33 06.7,00 44 48.05,+58 33 06.7,-1231756614324976886,-2991029127721725918
00448+5046,HJ 1049,0,1828,2015,298,305,12.0,14.2,10.1,12.1,+49  175,0,0,00 44 46.93,+50 46 22.3,00 44 46.93,+50 46 22.3,-8143698434747836599,619207328376549655
00448+4202,LDS5178,0,1960,2016,10,13,3.0,2.8,16.3,16.3,0,N,0,00 44 44.29,+42 01 20.0,00 44 44.29,+42 01 20.0,-8216637557256707565,1769680064779155687
00448+3940,ALI1011,0,1928,2016,1,2,5.7,6.2,10.7,11.3,0,N,0,00 44 44.75,+39 40 12.5,00 44 44.75,+39 40 12.5,-8845272464858961459,5795860438052945363
00448-1248,LDS5292,0,1960,2015,296,296,302.0,304.7,13.1,19.1,0,0,0,00 44 48.98,-12 49 35.6,00 44 48.98,-12 49 35.6,-3465824563517077488,4366821684532558741
00448-2201,ALD  98,0,1931,2015,264,222,1.6,1.4,12.0,12.5,-22  236,0,0,00 44 33.31,-22 00 25.4,00 44 33.31,-22 00 25.4,-1868804366307349462,6161592816671680844
00448-3105,SKF1356,0,1983,2016,10,9,7.5,7.8,15.0,18.3,0,V,0,00 44 45.52,-31 05 15.6,00 44 45.52,-31 05 15.6,-1226277824092960916,583780174618893338
00448-6412,KPP2611,0,1983,2015,247,246,24.0,23.9,10.85,14.18,0,V,0,00 44 49.46,-64 12 00.9,00 44 49.46,-64 12 00.9,-7719574385691978685,598049276371835146
00449+6245,TDS1596,0,2016,2016,291,291,1.7,1.7,11.5,15.6,0,0,0,00 44 56.84,+62 44 36.7,00 44 56.84,+62 44 36.7,4059708773255485343,-2536431714797419850
00449+4925,COU2154,0,1983,2016,317,319,1.2,1.1,11.25,12.39,+48  223,0,0,00 44 52.03,+49 24 52.8,00 44 52.03,+49 24 52.8,3668211999611123574,6489980904217968417
00449+3119,UC  430,0,1997,2015,287,287,41.6,41.6,12.75,14.3,0,V,0,00 44 52.85,+31 18 56.4,00 44 52.85,+31 18 56.4,-4994786648813306299,5786563759839695432
00449-2535,SKF1355,0,1954,2015,209,208,99.4,99.1,12.17,15.59,-26  239,V,0,00 44 51.59,-25 35 00.9,00 44 51.59,-25 35 00.9,1092769683987968771,6630635174088271997
