toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1147.01,266.962207,83.428826,218.258,266.962207,83.428826,-1942791350533929064
1148.01,161.909027,71.655727,96.5173,161.909027,71.655727,-4087158473370760925
1149.01,300.774016,26.892025,632.553,300.774016,26.892025,110896097873959083
115.01,6.70264,-56.316102,453.808,6.70264,-56.316102,-8508289105915725018
1150.01,307.8599,39.938916,204.455,307.8599,39.938916,188595966860395313
1151.01,294.661413,31.2192,136.426,294.661413,31.2192,2778002216385634263
1152.01,283.489697,37.380825,105.334,283.489697,37.380825,-1190404696081087684
1153.01,182.691562,85.705076,147.134,182.691562,85.705076,8753929834176901125
1218.01,71.484109,-68.761805,135.689,71.484109,-68.761805,-1020680013738058984
1219.01,72.332562,-67.368745,301.291,72.332562,-67.368745,-3408552945950746663
122.01,332.948236,-58.946085,62.118,332.948236,-58.946085,-4452756331336828544
1220.01,71.650779,-78.561605,273.698,71.650779,-78.561605,-4246065659528953986
1221.01,107.921025,-65.508857,138.411,107.921025,-65.508857,168757401857882072
1222.01,99.224785,-63.079384,226.932,99.224785,-63.079384,-9006316910270899765
1223.01,117.214876,-63.720125,237.7,117.214876,-63.720125,929973636327327594
1224.01,37.197836,-80.899105,37.3312,37.197836,-80.899105,1912827166550369361
1224.02,37.197836,-80.899105,37.3312,37.197836,-80.899105,8198802720468917467
1225.01,97.166308,-64.596432,252.615,97.166308,-64.596432,4686520842024740371
1225.02,97.166308,-64.596432,252.615,97.166308,-64.596432,-3959247586595877342
1226.01,103.754836,-69.867129,257.93,103.754836,-69.867129,8171209955837008557
1227.01,186.767363,-72.45185,100.641,186.767363,-72.45185,1879542395521009101
1228.01,107.843685,-68.83334,272.217,107.843685,-68.83334,-2548187757024581813
1229.01,74.130396,-74.920333,254.584,74.130396,-74.920333,-6226904730580471665
123.01,319.699588,-26.616374,161.498,319.699588,-26.616374,-1951316617746005453
1230.01,118.129594,-83.825063,143.138,118.129594,-83.825063,-1627794770384749457
1231.01,156.74726,-52.467872,27.6227,156.74726,-52.467872,-644386970804863715
1232.01,116.501399,-61.879794,328.604,116.501399,-61.879794,-2347667239133214719
1233.01,186.574063,-51.363052,64.5978,186.574063,-51.363052,1733381809059191871
