toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,framework_id
1177.01,297.30004,41.326844,602.899,297.30004,41.326844,-8612391256244852054
1178.01,279.101036,55.391781,36.7224,279.101036,55.391781,-2784560409831603995
1179.01,187.055897,67.240043,86.444,187.055897,67.240043,-7353456666790637685
118.01,349.559266,-56.903986,94.1719,349.559266,-56.903986,-2890553913741533866
1180.01,214.555774,82.193764,72.0238,214.555774,82.193764,-2316212404360728494
1181.01,297.215817,64.354351,302.819,297.215817,64.354351,5946859452836189183
1182.01,201.614657,65.306346,0.0,201.614657,65.306346,-4934200511301981056
1183.01,286.74712,71.712377,112.868,286.74712,71.712377,7742366509965521228
1184.01,272.20452,60.678785,58.5946,272.20452,60.678785,3882804538565146087
1185.01,297.459433,34.829667,246.798,297.459433,34.829667,4881708139495394667
1186.01,251.633465,65.715035,294.85,251.633465,65.715035,2171717905670133917
1187.01,162.893176,81.322174,221.071,162.893176,81.322174,-8062436767482627640
1188.01,306.730853,38.93227,347.452,306.730853,38.93227,7150035636448298631
1189.01,292.223229,24.20119,0.0,292.223229,24.20119,-1175812649602436411
119.01,99.238421,-58.016153,66.6187,99.238421,-58.016153,-1858328508351376286
119.02,99.238421,-58.016153,66.6187,99.238421,-58.016153,3305923859110538133
1190.01,292.734132,59.403853,280.948,292.734132,59.403853,-1784314549599910352
1191.01,283.526697,37.720014,355.809,283.526697,37.720014,3460568445270904682
1192.01,286.550056,44.0808,283.025,286.550056,44.0808,3612966617263693860
1193.01,301.41088,33.049205,501.963,301.41088,33.049205,-2356652103259373246
1194.01,167.821481,69.964775,149.667,167.821481,69.964775,1665645762569576091
1195.01,291.12047,33.273702,500.014,291.12047,33.273702,2106629105384474878
1196.01,291.707693,17.808736,424.442,291.707693,17.808736,8364037351102245245
1197.01,293.26832,15.736136,405.634,293.26832,15.736136,-4829964530131563194
1198.01,304.800032,32.581045,470.878,304.800032,32.581045,-9141784326700858651
1199.01,166.880658,61.352572,248.427,166.880658,61.352572,1672709980173039876
120.01,4.447163,-66.358928,79.5702,4.447163,-66.358928,5862106041672311763
1200.01,222.841424,82.952258,224.444,222.841424,82.952258,3747211726729837734
1201.01,42.2477,-14.537283,37.8871,42.2477,-14.537283,-7221440538370870617
