PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
834665,00 01 04.9,-20 57 18,G,0,0.37,0.1,116.0,0,3573066703944617319
1343445,00 01 04.9,+08 16 40,G,0,0.83,0.27,106.0,0,5278796799652298488
2794841,00 01 05.1,-40 02 52,G,0,0.0,0.0,0.0,0,8099417880555231763
705682,00 01 05.1,-31 23 41,G,0,0.39,0.13,154.0,0,8639435356039320452
889025,00 01 05.1,-17 05 06,G,0,0.34,0.08,110.0,0,-6239443990770775024
1981835,00 01 05.1,+32 07 56,G,0,0.49,0.27,28.0,0,-4220947883820530918
143162,00 01 05.3,-28 22 12,G,0,0.76,0.23,139.0,0,1219556068193300669
774480,00 01 05.3,-25 50 26,G,0,0.55,0.46,43.0,0,-1507535447298577549
495312,00 01 05.4,-47 48 50,G,0,0.52,0.21,100.0,0,6745998382148239996
2032381,00 01 05.5,+33 27 13,G,0,0.41,0.23,59.0,0,6549711782324259288
763354,00 01 05.6,-26 49 46,G,0,0.38,0.08,12.0,0,7416822368099730398
779182,00 01 05.7,-25 25 15,G,0,0.48,0.22,146.0,0,2178329623407627850
715115,00 01 05.7,-30 36 42,G,0,0.67,0.66,92.0,0,-381858403941190674
543343,00 01 05.8,-43 53 13,G,0,0.42,0.24,135.0,0,-3141281456804036924
549933,00 01 05.8,-43 20 36,G,0,0.44,0.05,67.0,0,-6138326415610168408
512597,00 01 05.8,-46 38 15,G,0,0.41,0.16,122.0,0,2042005236450605838
2449268,00 01 05.8,+53 43 58,G,0,0.63,0.25,83.0,0,1051825440302235934
82,00 01 05.9,-53 59 29,GM,SO-a,1.05,0.16,8.0,ESO149-11A            ESO-LV1492110,5740654486237131933
499576,00 01 05.9,-47 33 03,G,0,0.42,0.08,143.0,0,4460171090249598326
306539,00 01 06.0,-66 13 04,G,0,0.61,0.53,33.0,0,-7204669869752233429
1339457,00 01 06.0,+08 07 06,G,0,0.76,0.12,39.0,NPM1G+07.0537,-5582510892938084901
792889,00 01 06.2,-24 09 56,G,0,0.64,0.34,114.0,0,4732803987932096214
490739,00 01 06.2,-48 08 43,G,0,0.5,0.23,50.0,0,7041229148755207372
