RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,ra,dec,framework_id
49.44211512457,5.75545781067,3358668721036416,0.0704,0.0572,0.7674,0.0837,8.998,8.171,0.075,-3.769,0.069,1.064,3484.65601,2.9712,16.831966,1453.7,12.812,17.43236,2822.7,13.191,16.121244,1.311115,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,4501.2,4.4697,-0.5981,1199.1595,0.0482,0.0,1.1490049442106706e+17,1.237670016200606e+18,0.0,0,URAT1-479012332,0,0.0,N9X0001831,0.0,03174610+0545198,0.0,49.44207862452,5.75547456099,-6202092400191496282
49.43074188623,5.75284003403,3358767505145984,0.2075,0.1646,1.9909,0.2255,21.422,21.399,0.231,0.997,0.202,0.922,659.58323,1.5862,18.639193,133.06,10.322,20.028418,826.99,17.971,17.454144,2.574274,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,3554.9,4.2834,-0.4696,987.3504,1.0419,0.0,1.149004943069539e+17,1.237670016200606e+18,0.0,0,0,J031743.37+054510.2,0.0,N9X0001823,0.0,03174336+0545103,0.0,49.43064629999,5.75283560209,-7807877630328739351
49.41855056362,5.76102892196,3358836224349696,0.0473,0.0419,0.229,0.0606,3.647,2.513,0.055,-2.644,0.047,1.002,6733.22496,3.977,16.11681,2797.5,6.279,16.721626,5640.6,17.361,15.369577,1.352049,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,4908.1,4.1363,-0.3107,1613.763,0.6641,0.0,1.1491049418576373e+17,1.237670016200606e+18,0.0,0,URAT1-479012322,J031740.45+054539.7,0.0,N9VS003058,0.0,03174045+0545398,0.0,49.41853933891,5.76104067225,7441540016948048843
49.41630667894,5.77252344929,3358836224350848,0.2976,0.2401,0.1186,0.3324,3.836,3.809,0.326,0.447,0.29,1.069,374.57948,1.1634,19.253508,140.41,7.5224,19.970076,308.45,12.893,18.524944,1.445131,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492049416291752e+17,1.237670016200606e+18,0.0,0,0,J031739.93+054620.7,0.0,N9VS003067,0.0,0,0.0,49.41628966177,5.77252146291,4771663058667067098
49.42488242749,5.76840202485,3358943598943232,0.0197,0.0175,0.7349,0.0261,1.703,0.896,0.021,1.448,0.019,1.041,43757.90225,8.7464,14.084725,21800.0,52.154,14.492401,31451.0,34.919,13.503815,0.988586,27.14,4.78,0.0,13.236258,0,0,0,1,1,0,0,0,1,1,0,5759.1,3.7013,-0.5231,1542.7036,0.5062,0.0,1.1492049424930258e+17,1.2376700162006057e+18,0.0,0,URAT1-479012323,J031741.97+054606.2,15262.0,N9X0000082,0.0,03174197+0546063,0.0,49.42487842447,5.7683955885,-7417541644975052902
49.44321302679,5.78169594053,3358973663576704,0.314,0.2727,0.4187,0.3661,15.488,12.659,0.366,-8.923,0.344,1.143,400.13441,1.3723,19.181852,119.85,11.832,20.141941,401.06,11.646,18.239876,1.902065,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1493049443192853e+17,1.237670016200606e+18,0.0,0,0,J031746.36+054654.1,0.0,N9X0001897,0.0,03174635+0546542,0.0,49.4431564758,5.7817355961,1379960268705488547
49.35267628166,5.72379879239,3359008023037440,0.1798,0.1702,1.8506,0.2044,13.533,13.258,0.244,-2.713,0.231,1.003,578.49084,1.3892,18.781626,110.6,13.636,20.229158,685.24,12.357,17.658297,2.570862,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3448.8,4.5804,-0.1059,768.6706,0.7047,0.0,1.1486049352652906e+17,1.237670016200606e+18,0.0,0,0,J031724.65+054325.6,0.0,N9VS003022,0.0,03172463+0543257,0.0,49.35261706271,5.7238108487,-2241292549722415679
49.35427132893,5.72297989565,3359012318604416,0.4281,0.4111,-1.1804,0.479,4.181,4.142,0.589,0.575,0.564,1.108,205.59603,1.1726,19.90483,74.774,6.549,20.654173,199.68,6.7638,18.997074,1.657099,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486049354260808e+17,1.237670016200606e+18,0.0,0,0,0,0.0,N9VS006471,0.0,0,0.0,49.35425282892,5.72297734054,-3724554063863598756
49.3585988116,5.74925265693,3359214181675008,3.497,4.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.77281,1.2235,20.700773,26.345,9.7164,21.786789,156.88,14.588,19.258974,2.527815,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1489049358567962e+17,1.237670016200606e+18,0.0,0,0,J031726.07+054456.9,0.0,N9VS006498,0.0,0,0.0,49.3585988116,5.74925265693,-9202201353463514700
49.32375253832,5.74847213543,3359282901151360,0.6444,0.6092,-0.5482,0.6946,2.454,1.921,0.93,-1.526,0.851,0.968,113.77198,0.90203,20.54728,54.848,6.8172,20.99064,97.532,12.248,19.775023,1.215618,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1489049323710864e+17,1.2376700162005407e+18,0.0,0,0,0,0.0,N9VS006495,0.0,0,0.0,49.32374395546,5.74847891906,-6053152692405676274
49.34341762466,5.75282620841,3359321556039168,0.1211,0.104,4.549,0.1422,35.147,-0.117,0.146,-35.147,0.12,7.163,1965772.51772,401.08,9.953534,1111600.0,667.84,10.223629,1237600.0,459.61,9.516419,0.70721,23.48,0.79,13.1054,9.33933,0,0,1,1,1,0,0,0,1,1,0,6200.1,3.9771,-0.6926,202.6027,0.1283,0.0,0.0,1.2376700162005402e+18,0.0,62-480-1,URAT1-479012302,J031722.42+054510.3,15263.0,N9VS000191,0.0,03172242+0545107,0.0,49.34341814599,5.75298241567,408073970532252596
49.31259166764,5.75198398246,3359355915777920,0.0271,0.0239,0.822,0.0309,6.6,1.455,0.035,-6.438,0.03,1.12,17145.88805,5.455,15.101967,8129.4,23.55,15.5634,12849.0,17.576,14.475755,1.087646,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,5896.6,4.2581,-0.4288,1058.177,0.7835,0.0,1.149004931264729e+17,1.2376700162005402e+18,0.0,0,URAT1-479012292,J031715.02+054507.1,15264.0,N9VS000192,0.0,03171502+0545072,0.0,49.31258516976,5.75201259672,8496455305790317559
49.32481627695,5.76737452334,3359385980368512,0.6804,0.6693,-0.1041,0.7199,3.422,3.349,1.017,-0.703,0.965,1.061,123.34263,1.07,20.459583,34.93,6.3365,21.48056,151.75,10.575,19.295063,2.185497,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492049324814133e+17,1.2376700162005407e+18,0.0,0,0,J031717.97+054602.2,0.0,N9VS006514,0.0,0,0.0,49.32480131726,5.76737764583,-7297336152719047107
49.36628140287,5.77647148027,3359454699641600,0.5558,0.426,-0.0011,0.5916,0.116,0.045,0.639,0.107,0.562,1.068,181.42444,1.0798,20.040627,114.6,11.056,20.190573,131.7,11.192,19.448954,0.741619,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1493049366284232e+17,1.237670016200606e+18,0.0,0,0,J031727.90+054634.8,0.0,N9VS003068,0.0,0,0.0,49.36628119994,5.77647100492,-1149692850330726032
49.34380198564,5.776939142,3359489059380224,0.0845,0.0748,0.6121,0.0954,4.125,-2.142,0.109,-3.526,0.093,1.055,1758.23981,2.1877,17.57467,755.35,12.499,18.143179,1382.9,9.6741,16.895956,1.247223,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,4552.6,4.8684,-1.5603,917.7839,0.0529,0.0,1.1493049343803282e+17,1.2376700162005404e+18,0.0,0,URAT1-479012303,J031722.52+054636.8,0.0,N9VS003070,0.0,03172253+0546371,0.0,49.34381155236,5.77695481228,-3570586593793665254
49.35399532946,5.78523342472,3359523419323136,0.4515,0.3422,3.097,0.4989,4.279,-2.651,0.483,3.358,0.398,0.977,219.35993,1.1301,19.834475,49.156,7.3664,21.10961,286.19,9.1731,18.606262,2.503347,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1494049354008277e+17,1.2376700162005407e+18,0.0,0,0,0,0.0,N9VS006524,0.0,03172495+0547069,0.0,49.3540071708,5.78521849817,-6192145597802507227
49.39407398609,5.76704725254,3359557778855808,0.347,0.2678,1.1267,0.3816,4.661,4.563,0.385,-0.954,0.334,0.974,305.62084,1.1698,19.47441,97.127,8.1652,20.370193,297.94,12.737,18.562567,1.807627,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1492049394088091e+17,1.237670016200606e+18,0.0,0,0,J031734.58+054601.5,0.0,N9VS003061,0.0,0,0.0,49.39405360472,5.76705149126,7086938438570910221
49.38045089168,5.76702006211,3359626498332672,0.2442,0.1887,1.7136,0.29,12.899,9.79,0.259,-8.399,0.228,0.998,521.6021,1.5896,18.894018,98.276,8.6554,20.357428,636.79,11.799,17.73791,2.619518,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,3350.5,5.0019,-0.6393,338.5461,0.3964,0.0,1.1492049380429093e+17,1.237670016200606e+18,0.0,0,0,J031731.31+054601.4,0.0,N9VS003062,0.0,03173129+0546014,0.0,49.38040716105,5.76705739021,7362092264745876304
49.38023359045,5.78834772116,3359867016707072,0.6107,0.4106,0.679,0.7228,17.06,16.835,0.576,2.759,0.476,0.965,207.86841,1.0693,19.892895,42.621,6.9694,21.264479,239.14,14.495,18.801281,2.463198,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1494049380186651e+17,1.237670016200606e+18,0.0,0,0,J031731.22+054718.5,0.0,N9VS006526,0.0,0,0.0,49.38015838456,5.78833545958,-3712884384410537787
49.38426572575,5.81996858145,3360077469809664,0.7201,0.5252,0.5291,0.7354,2.651,0.408,0.875,-2.62,0.692,1.054,150.69115,1.1461,20.242147,59.944,9.0718,20.894178,136.92,11.722,19.406712,1.487467,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1498049384267435e+17,1.2376672293037018e+18,0.0,0,0,J031732.22+054911.5,0.0,N9VS006550,0.0,0,0.0,49.38426390462,5.81998022464,-211026607565130348
