objID,ra,dec,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,framework_id
1237660335342617104,45.102664,0.14721,2,3,0,0.142,0.069,23.226,22.491,20.669,19.649,18.971,1.301,0.279,0.097,0.066,0.157,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.9,0,52585.2785,-8834170232270012122
1237663238736773825,45.102607,0.147122,2,3,0,0.374,0.102,26.755,22.114,20.246,19.418,18.998,0.845,0.252,0.081,0.052,0.156,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.62+000849.6,0,52909.4462,2442707697060651609
1237663277410615724,45.102701,0.147097,2,3,0,0.186,0.101,26.292,24.544,20.863,20.228,19.45,0.821,0.965,0.071,0.059,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.5,0,52910.4163,7247481034583596938
1237663526538052190,45.102638,0.147156,3,3,0,0.172,0.111,22.233,22.87,20.701,19.751,19.177,0.563,0.409,0.1,0.064,0.161,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.7,0,52935.3436,-1523991738485802986
1237663526538052191,45.102703,0.147149,2,3,0,0.114,0.113,23.196,23.615,21.012,20.02,20.43,1.148,0.696,0.116,0.073,0.444,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.64+000849.7,0,52935.3436,3935177093538805197
1237663526538052192,45.10244,0.147192,4,3,0,0.234,0.185,23.757,24.311,23.313,22.567,20.642,0.737,0.487,0.349,0.28,0.217,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.58+000849.8,0,52935.3436,3317191372086188017
1237663784217150140,45.102634,0.147156,1,3,1,0.209,0.072,25.571,22.245,20.38,19.582,19.015,1.758,0.25,0.079,0.057,0.139,0.0,0.0,0.0,0.441,0.0277,0.4543,3,SDSS J030024.63+000849.7,0,52963.2668,-5659335404224150542
1237663891575603569,45.102662,0.147201,2,3,0,0.13,0.124,21.613,22.575,20.528,19.63,18.883,0.37,0.386,0.087,0.053,0.115,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.63+000849.9,0,52971.2578,5586072364469791379
1237667129981272617,45.10273,0.147133,2,3,0,0.316,0.115,24.905,22.708,20.733,20.006,19.224,2.18,0.284,0.087,0.07,0.151,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.65+000849.6,0,53351.1889,525586517925479127
1237676325511168372,45.102601,0.147165,2,3,0,0.167,0.094,23.007,22.374,20.975,20.198,19.654,1.637,0.403,0.115,0.068,0.136,0.0,0.0,0.0,0.0,0.0,0.0,3,SDSS J030024.62+000849.7,0,54424.2962,-174613151788654
