pl_name,hostname,pl_orbper,framework_id,frame_hash
HD 3167 b,HD 3167,0.959632,-5676074305547817882,-9033411095584617418
HD 3167 c,HD 3167,29.84622,1697259622772359587,-3212613805223283701
COCONUTS-2 b,COCONUTS-2 A,402000000.0,3313669216630717016,-9202868778988268728
GJ 1214 b,GJ 1214,1.58040454,-2292595557667260020,-129147749847570623
HD 72659 c,HD 72659,35500.0,1793620924950855128,-8357017354812695928
HD 72659 b,HD 72659,3658.0,-7061389909883260600,-3719404174163086894
HD 72659 b,HD 72659,3549.0,8599730344002507269,7554815558000900360
GJ 1214 b,GJ 1214,1.580404938,-3035916913485269669,5504149532043093644
HR 8799 c,HR 8799,69000.0,-443138440232906772,2913022190281401824
HD 183263 c,HD 183263,3070.0,-3624596979981105600,-6551542627670283494
HD 24040 c,HD 24040,515.4,1852986868519418670,-4907685035695719308
HD 68988 c,HD 68988,16000.0,7472366398816248827,-5303743076487180090
HD 114783 b,HD 114783,492.56,7369823319525226404,-1339226237427014155
HD 12661 b,HD 12661,262.36,-5485155105599217863,-2298611136479923826
HD 12661 c,HD 12661,1696.7,-5347766383371790607,1853958192027542295
HD 156279 b,HD 156279,133.4031,3874792994608346678,5580807130686750644
HD 156279 c,HD 156279,4758.0,3475814770495497835,5679029101054381767
HD 168443 b,HD 168443,58.11159,3855957791510847828,-5063861876964049478
HD 181234 b,HD 181234,7504.0,6987063521125832968,5127534145678445189
HD 62364 b,HD 62364,27399.80247,3767516471298797054,1252244461325724290
HD 62364 c,HD 62364,74839.94555,5254105512626855693,-6830256802794813878
HD 168443 c,HD 168443,1753.1096,6594583731429573822,8283597012621215337
HD 168863 b,HD 168863,14773.93272,-1637271819676811280,1524479774653010989
HD 16905 b,HD 16905,6707.49126,-9133661843302099663,7519809487188921505
HD 181234 b,HD 181234,7593.40512,1371418763117939474,-5838529150790641695
HD 183263 b,HD 183263,624.87404,4277975969782051320,3813949005336038350
HD 183263 c,HD 183263,4667.97841,3222666654028412217,-8056846934661105107
HD 221420 b,HD 221420,8615.41549,-9085422939454977659,8464799888098446513
HD 66428 b,HD 66428,2269.81726,-3590922892712520931,8106192570662529878
HD 3167 b,HD 3167,0.95965428,-3745285908053612160,6480204749128568289
HD 3167 c,HD 3167,29.8464948,8508567771703184121,-6857518359080058254
HD 3167 d,HD 3167,8.4783,831361808408273585,3684907708984530419
HD 3167 d,HD 3167,8.4112,8342293515601211899,5723221764017247725
HD 3167 e,HD 3167,96.63,8828546198484848045,-72270840252580153
HD 89839 b,HD 89839,3441.0,-5517066202208462805,-1704002169552197813
HD 181234 b,HD 181234,7450.0,4548925158930415387,5575757149291813473
BD-210397 b,BD-210397,1891.0,4131610566461753116,4134755827545111460
HD 108202 b,HD 108202,2990.0,-706466828703371860,-2438806867843831643
BD-210397 c,BD-210397,6240.0,6186633442088029442,6096140048595597330
HD 16905 b,HD 16905,10256.0,-646609469048008393,-6132487817395059276
HD 62364 b,HD 62364,5172.0,-3674311860503000939,3128955382503836336
HD 89839 b,HD 89839,3448.0,-5269465173915591815,-6265917620943251042
HD 114783 c,HD 114783,4352.0,3888354684538188545,5010194772941245146
GJ 832 b,GJ 832,3853.0,-8356038795056392455,-8789990224948086847
HD 221420 b,HD 221420,10066.0,-1090851544628366933,-1462629671710708579
HIP 70849 b,HIP 70849,3649.0,-5145638763695321497,8489465471464494618
HD 27894 b,HD 27894,18.01939,-6543146776439354053,1030295274925706230
HD 27894 d,HD 27894,5019.54244,2458859011384121698,-3724231515438722372
HD 29985 b,HD 29985,20608.14049,-7488980723711487425,8687535809622103340
Kepler-293 b,Kepler-293,19.25405306,-3660457274030075473,-513757140058602929
Kepler-549 d,Kepler-549,24.61482073,8593625671578424373,-9005228651943554561
Kepler-395 b,Kepler-395,7.05427318,5115318260605671032,8715935728024161757
Kepler-172 d,Kepler-172,0.0,7519556860336915579,-4538195947412206469
Kepler-109 c,Kepler-109,21.2226460262,6512578717282376959,5418991831031143515
Kepler-549 b,Kepler-549,42.94957774,1043623407452749108,2756831349739968113
Kepler-1515 b,Kepler-1515,214.3114164,181031359590463256,-3405514890091598215
Kepler-359 c,Kepler-359,57.6895695163,38917497599973483,-8641101929916402358
Kepler-1834 b,Kepler-1834,4.602996,-8612391256244852054,-3221002987486201742
Kepler-1162 b,Kepler-1162,0.0,-2784560409831603995,6695879725142051205
Kepler-703 b,Kepler-703,4.5835184,-7353456666790637685,202324077830342110
Kepler-1471 b,Kepler-1471,3.63899398,-2890553913741533866,-5109413824317511301
Kepler-725 b,Kepler-725,39.6431552,-2316212404360728494,3459468337640445092
Kepler-1644 b,Kepler-1644,21.0907758,5946859452836189183,3172062483494681398
Kepler-50 b,Kepler-50,7.8128584,-4934200511301981056,5894361401675002132
Kepler-325 d,Kepler-325,38.7149617,7742366509965521228,3515405073173741062
Kepler-1296 b,Kepler-1296,8.38395796,3882804538565146087,2851744789483982963
Kepler-1371 b,Kepler-1371,3.4462125,4881708139495394667,-1073046478635388796
K2-5 b,K2-5,5.7348462,2171717905670133917,-7416882853108973189
KOI-1257 b,KOI-1257,86.647661,-8062436767482627640,-5155891342492130593
Kepler-82 e,Kepler-82,5.902209,7150035636448298631,-4034683486327654180
Kepler-1369 b,Kepler-1369,25.87333,-1175812649602436411,-1209447211949530969
Kepler-697 b,Kepler-697,3.709870645,-1858328508351376286,7037635256396794907
Kepler-1466 b,Kepler-1466,31.1750448,3305923859110538133,-2295469827465875922
Kepler-634 b,Kepler-634,5.16950177,-1784314549599910352,2085490242430620825
Kepler-1889 b,Kepler-1889,37.3037619,3460568445270904682,-3422108030700158731
KOI-1257 b,KOI-1257,86.64763676,3612966617263693860,-3104655696811725071
Kepler-1668 b,Kepler-1668,15.43400996,-2356652103259373246,4292682613980047509
Kepler-46 d,Kepler-46,6.76652928,1665645762569576091,7911412675175771463
Kepler-1772 b,Kepler-1772,3.215106337,2106629105384474878,-5714084078049751864
Kepler-511 c,Kepler-511,26.62946276,8364037351102245245,-6429506106882858419
Kepler-684 b,Kepler-684,6.770302008,-4829964530131563194,1097867902959162371
Kepler-127 b,Kepler-127,14.4360263586,-9141784326700858651,-85507496490285414
Kepler-393 b,Kepler-393,9.182417,1672709980173039876,6119631392599124478
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,0.0,5862106041672311763,-9076800824019276614
Kepler-586 b,Kepler-586,2.104721971,3747211726729837734,8103374001657463457
Kepler-202 b,Kepler-202,4.069425638,-7221440538370870617,-4854853718313861735
Kepler-42 b,Kepler-42,0.0,-5355515213776284833,3653617618765472249
Kepler-1499 b,Kepler-1499,0.0,3760576635852252968,-3017883143041978208
HD 63454 b,HD 63454,2.818049,4401332832544496889,-8767997976819005589
Kepler-908 b,Kepler-908,1.340597468,7011985076695864148,-3240961889788281200
Kepler-397 c,Kepler-397,135.4978256,-1767520660695104820,4054896359510349012
Kepler-60 d,Kepler-60,11.8984932,-2968916954736035872,1747330553984224293
61 Vir c,61 Vir,38.0957,-2941892765107997591,-6397839503015088299
Kepler-546 b,Kepler-546,4.147021189,135719202299709881,-7279348050352201209
Kepler-116 b,Kepler-116,5.968717469,6343436656866206435,1798600593829763854
Kepler-181 b,Kepler-181,3.137848829,-5549142257751182082,-3556183744095532484
Kepler-188 b,Kepler-188,2.06187,-5509811245556887590,2920169482924513447
K2-230 b,K2-230,2.860636,3729326641739012766,-7762104362598089997
Kepler-1077 b,Kepler-1077,34.3511874,-5165359626682444385,6498437721049636460
Kepler-1800 b,Kepler-1800,4.56204856,8833578158500349569,-2718596894235107053
Kepler-1005 b,Kepler-1005,6.49801525,59505721256241629,1589476256925958810
Kepler-376 b,Kepler-376,4.9202752591,8857341078786192147,1921311674863289408
HD 331093 b,HD 331093,621.62,5639387291468307841,-3655863302345204904
Kepler-1890 b,Kepler-1890,4.82052932,874194140411671947,8581207667442010086
K2-139 b,K2-139,28.382071,-4984732271448556694,2126747094439369052
HD 108874 c,HD 108874,1743.2,1469117463163222930,8624372429886989666
Kepler-1892 b,Kepler-1892,6.3312784,-7741349517535178657,-4861706864220629240
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,0.0,866978549754729877,7588093456084160051
Kepler-305 b,Kepler-305,5.4871224247,-6954529216558237596,-5954731022362668116
Kepler-1586 b,Kepler-1586,15.6049212,-2597807468081333527,-1942791350533929064
Kepler-183 b,Kepler-183,5.6879831,-5588054345736849653,-4087158473370760925
Kepler-1037 b,Kepler-1037,1.0637892018,-1373719751611860466,110896097873959083
Kepler-132 b,Kepler-132,6.178165,5061694048199963043,-8508289105915725018
Kepler-1722 b,Kepler-1722,9.178475,-3223338559372992837,188595966860395313
Kepler-209 b,Kepler-209,16.08786478,134592342223214224,2778002216385634263
Kepler-690 b,Kepler-690,7.748094374,2802745656701064479,-1190404696081087684
Kepler-280 c,Kepler-280,4.807099588,-8311823683130950685,8753929834176901125
K2-21 c,K2-21,15.50116,4796394264839317951,-1020680013738058984
Kepler-118 b,Kepler-118,7.51854537,7835344993501172611,-3408552945950746663
Kepler-1809 b,Kepler-1809,3.757294695,-2977487807683295510,-4452756331336828544
Kepler-301 c,Kepler-301,5.41908491,-1679951900223022355,-4246065659528953986
Kepler-544 b,Kepler-544,21.41635034,-1653156953482953367,168757401857882072
Kepler-1458 b,Kepler-1458,47.9866946936,-1498813696144966130,-9006316910270899765
Kepler-107 e,Kepler-107,14.74913518,-1332014356211782508,929973636327327594
Kepler-1392 b,Kepler-1392,15.1413066,989001281687972116,1912827166550369361
Kepler-1509 b,Kepler-1509,25.4338197,-5296579706221793922,8198802720468917467
Kepler-568 b,Kepler-568,11.02347475,6774598031703390329,4686520842024740371
Kepler-99 b,Kepler-99,4.603578042,-1099142971581516269,-3959247586595877342
HD 202206 c,HD 202206,1260.0,7200573551786666300,8171209955837008557
Kepler-85 c,Kepler-85,12.513,2637198772027114406,1879542395521009101
Kepler-423 b,Kepler-423,2.68432852,-4569556353715434218,-2548187757024581813
TOI-1248 b,TOI-1248,4.3601561,-1193620303658382919,-6226904730580471665
HD 260655 c,HD 260655,5.7060868,432480193218969685,-1951316617746005453
TOI-4773 b,TOI-4773,1.7452851,3697219850146358548,-1627794770384749457
Kepler-391 c,Kepler-391,20.4853893,-2797109761746892177,-644386970804863715
Kepler-58 c,Kepler-58,15.574,-8259343188751019371,-2347667239133214719
Kepler-1898 b,Kepler-1898,4.765620232,-4687539959235039065,1733381809059191871
Kepler-295 b,Kepler-295,12.64506533,-6755946791609195865,-5035633109669509599
Kepler-1272 b,Kepler-1272,51.1309704,-4641883319910735476,562596992518307212
Kepler-675 b,Kepler-675,2.33743801,6138233155450585615,-939698364464762038
Kepler-454 b,Kepler-454,10.573757029,1017600437803423149,8350675614968871338
K2-240 b,K2-240,6.034,-4019675818846618309,-6995120496915336143
Kepler-1536 b,Kepler-1536,364.758031,-5094920735475299719,-4456452829429377830
Kepler-952 b,Kepler-952,130.35464842,2201048966478008978,5668106455475002886
Kepler-1248 b,Kepler-1248,7.46718958,-2539871551128494172,-3325949941425150214
Kepler-121 b,Kepler-121,3.17741077,2232055156615144782,-3724040126351393467
Kepler-1886 b,Kepler-1886,24.2758007,8003704633511596053,8744414126126095462
K2-343 c,K2-343,7.67689,4824440375271118588,-4615488746763460422
HD 73267 b,HD 73267,1257.2,-4301504602245760311,1621626370846799450
Kepler-887 b,Kepler-887,0.0,7138089190822970269,-6956923443935962937
Kepler-392 b,Kepler-392,5.341788,2526104178211829376,7394447619872977214
Kepler-799 b,Kepler-799,133.46084685,-2227847872793155225,-6819979807237454538
Kepler-132 b,Kepler-132,6.17817366,2142148443131010115,423253399356058389
Kepler-1721 b,Kepler-1721,4.592393816,3403535899180287172,-6057843066736725790
Kepler-1807 b,Kepler-1807,10.86060638,6986651008547939010,28382958153628864
Kepler-524 c,Kepler-524,1.88897906,3902985014689187986,9154448757049766432
Kepler-1146 b,Kepler-1146,2.352265797,8796087532706640103,175301545232818624
Kepler-1094 b,Kepler-1094,0.0,5660708941488863164,-6186131680774745486
Kepler-79 b,Kepler-79,13.48458665,-534356264768348903,-5240529107850172745
Kepler-223 e,Kepler-223,19.7240891,3001729382322155483,-768113199410434965
Kepler-1218 b,Kepler-1218,22.9221266,8287288399439355067,-4322582928618359828
Kepler-1630 b,Kepler-1630,509.997402,536071676005405863,4350361833846982381
