pl_name,hostname,pl_orbper,frame_hash
Kepler-703 b,Kepler-703,4.5835184,-4034683486327654180
Kepler-1471 b,Kepler-1471,3.63899398,-1209447211949530969
Kepler-725 b,Kepler-725,39.6431552,7037635256396794907
Kepler-1644 b,Kepler-1644,21.0907758,-2295469827465875922
Kepler-50 b,Kepler-50,7.8128584,2085490242430620825
Kepler-325 d,Kepler-325,38.7149617,-3422108030700158731
Kepler-1296 b,Kepler-1296,8.38395796,-3104655696811725071
Kepler-1371 b,Kepler-1371,3.4462125,4292682613980047509
K2-5 b,K2-5,5.7348462,7911412675175771463
KOI-1257 b,KOI-1257,86.647661,-5714084078049751864
Kepler-82 e,Kepler-82,5.902209,-6429506106882858419
Kepler-1369 b,Kepler-1369,25.87333,1097867902959162371
Kepler-697 b,Kepler-697,3.709870645,-85507496490285414
Kepler-1466 b,Kepler-1466,31.1750448,6119631392599124478
Kepler-634 b,Kepler-634,5.16950177,-9076800824019276614
Kepler-1889 b,Kepler-1889,37.3037619,8103374001657463457
KOI-1257 b,KOI-1257,86.64763676,-4854853718313861735
Kepler-1668 b,Kepler-1668,15.43400996,3653617618765472249
Kepler-46 d,Kepler-46,6.76652928,-3017883143041978208
Kepler-1772 b,Kepler-1772,3.215106337,-8767997976819005589
Kepler-511 c,Kepler-511,26.62946276,-3240961889788281200
Kepler-684 b,Kepler-684,6.770302008,4054896359510349012
Kepler-127 b,Kepler-127,14.4360263586,1747330553984224293
Kepler-393 b,Kepler-393,9.182417,-6397839503015088299
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,,-7279348050352201209
Kepler-586 b,Kepler-586,2.104721971,1798600593829763854
Kepler-202 b,Kepler-202,4.069425638,-3556183744095532484
Kepler-42 b,Kepler-42,,2920169482924513447
Kepler-1499 b,Kepler-1499,,-7762104362598089997
HD 63454 b,HD 63454,2.818049,6498437721049636460
Kepler-908 b,Kepler-908,1.340597468,-2718596894235107053
Kepler-397 c,Kepler-397,135.4978256,1589476256925958810
Kepler-60 d,Kepler-60,11.8984932,1921311674863289408
61 Vir c,61 Vir,38.0957,-3655863302345204904
Kepler-546 b,Kepler-546,4.147021189,8581207667442010086
Kepler-116 b,Kepler-116,5.968717469,2126747094439369052
Kepler-181 b,Kepler-181,3.137848829,8624372429886989666
Kepler-188 b,Kepler-188,2.06187,-4861706864220629240
K2-230 b,K2-230,2.860636,7588093456084160051
Kepler-1077 b,Kepler-1077,34.3511874,-5954731022362668116
Kepler-1800 b,Kepler-1800,4.56204856,-1942791350533929064
Kepler-1005 b,Kepler-1005,6.49801525,-4087158473370760925
Kepler-376 b,Kepler-376,4.9202752591,110896097873959083
HD 331093 b,HD 331093,621.62,-8508289105915725018
Kepler-1890 b,Kepler-1890,4.82052932,188595966860395313
K2-139 b,K2-139,28.382071,2778002216385634263
