obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,framework_id,frame_hash
9173,archived,Sgr A*,266.41667,-29.00781,54673.8887152778,ACIS-I,NONE,28130.0,GO,Zadeh,55040,6541,7604911008708887352,-3652176704800124490
9174,archived,Sgr A*,266.41667,-29.00781,54672.9095486111,ACIS-I,NONE,29180.0,GO,Zadeh,55039,6542,640163928774857076,-9216321066058082969
13838,archived,Sgr A*,266.41667,-29.00781,56140.7287615741,ACIS-S,HETG,99560.0,GO,Baganoff,56142,6543,1229415892918381845,2257844451248490849
13839,archived,Sgr A*,266.41667,-29.00781,56132.2937384259,ACIS-S,HETG,176250.0,GO,Baganoff,56135,6544,-3505547017430570765,4346350388083611331
13840,archived,Sgr A*,266.41667,-29.00781,56134.8346296296,ACIS-S,HETG,162520.0,GO,Baganoff,56138,6545,-3395231848818098082,4191300837151574492
13841,archived,Sgr A*,266.41667,-29.00781,56125.8796180556,ACIS-S,HETG,45070.0,GO,Baganoff,56127,6546,-5197314098398396766,8379537106459046635
13842,archived,Sgr A*,266.41667,-29.00781,56129.4949189815,ACIS-S,HETG,191760.0,GO,Baganoff,56133,6547,-4778478006178371122,5139117079198819703
13843,archived,Sgr A*,266.41667,-29.00781,56222.6672222222,ACIS-S,HETG,120680.0,GO,Baganoff,56231,6548,-2880279286074611319,6001020532547805202
13844,archived,Sgr A*,266.41667,-29.00781,56118.9659375,ACIS-S,HETG,20060.0,GO,Baganoff,56119,6549,1794471475941692957,2746123587208581135
13845,archived,Sgr A*,266.41667,-29.00781,56066.4462037037,ACIS-S,HETG,135310.0,GO,Baganoff,56070,6550,-1298362057304105241,-73305539878771760
13846,archived,Sgr A*,266.41667,-29.00781,56063.4453240741,ACIS-S,HETG,56210.0,GO,Baganoff,56072,6551,-2328679715599263445,-884020303674886036
13847,archived,Sgr A*,266.41667,-29.00781,56047.6783796296,ACIS-S,HETG,154060.0,GO,Baganoff,56050,6552,-2455702339313535109,-8784569139825859989
13848,archived,Sgr A*,266.41667,-29.00781,56056.5019560185,ACIS-S,HETG,98160.0,GO,Baganoff,56058,6553,5153361285211677887,6903983767106954636
13849,archived,Sgr A*,266.41667,-29.00781,56058.137974537,ACIS-S,HETG,178740.0,GO,Baganoff,56063,6554,-7274690166547922761,-1850000969972082740
13850,archived,Sgr A*,266.41667,-29.00781,55963.0260185185,ACIS-S,HETG,60060.0,GO,Baganoff,55965,6555,5934784203053158477,-8154921295563289783
13851,archived,Sgr A*,266.41667,-29.00781,56216.7838657407,ACIS-S,HETG,107060.0,GO,Baganoff,56219,6556,-1746664582880114404,393859196246339463
