main_id,ra,dec,otype,framework_id,frame_hash
[AFR2020] NGC5907 GC139,228.62929,56.292393,GlC,5115318260605671032,3459468337640445092
[AFR2020] NGC5907 GC140,229.10985,56.29314,GlC,7519556860336915579,3172062483494681398
[AFR2020] NGC5907 GC141,229.15486,56.29363300000001,GlC,6512578717282376959,5894361401675002132
[AFR2020] NGC5907 GC142,228.91592,56.296490000000006,GlC,1043623407452749108,3515405073173741062
JCMTSE J151557.2+561747,228.98906,56.296272,GlC,181031359590463256,2851744789483982963
[AFR2020] NGC5907 GC144,228.9093,56.296326,GlC,38917497599973483,-1073046478635388796
[AFR2020] NGC5907 GC145,228.6219,56.295944,GlC,-8612391256244852054,-7416882853108973189
[AFR2020] NGC5907 GC146,229.09035,56.297386,GlC,-2784560409831603995,-5155891342492130593
[AFR2020] NGC5907 GC147,229.05539,56.299107,GlC,-7353456666790637685,-4034683486327654180
[AFR2020] NGC5907 GC148,228.68999,56.298515,GlC,-2890553913741533866,-1209447211949530969
[AFR2020] NGC5907 GC149,229.23878,56.29957999999999,GlC,-2316212404360728494,7037635256396794907
[AFR2020] NGC5907 GC150,228.5946,56.30173,GlC,5946859452836189183,-2295469827465875922
[AFR2020] NGC5907 GC151,229.07448,56.304268,GlC,-4934200511301981056,2085490242430620825
[AFR2020] NGC5907 GC152,229.12593,56.3041,GlC,7742366509965521228,-3422108030700158731
[AFR2020] NGC5907 GC153,228.93044,56.30438199999999,GlC,3882804538565146087,-3104655696811725071
[AFR2020] NGC5907 GC154,229.28568,56.305725,GlC,4881708139495394667,4292682613980047509
[AFR2020] NGC5907 GC155,229.0408,56.30699,GlC,2171717905670133917,7911412675175771463
[AFR2020] NGC5907 GC156,228.96701,56.307587,GlC,-8062436767482627640,-5714084078049751864
[AFR2020] NGC5907 GC157,229.165,56.308144,GlC,7150035636448298631,-6429506106882858419
[AFR2020] NGC5907 GC158,229.1516,56.30824,GlC,-1175812649602436411,1097867902959162371
[AFR2020] NGC5907 GC159,229.0097,56.310867,GlC,-1858328508351376286,-85507496490285414
[AFR2020] NGC5907 GC160,229.30785,56.31147,GlC,3305923859110538133,6119631392599124478
[AFR2020] NGC5907 GC161,229.30478,56.31157,GlC,-1784314549599910352,-9076800824019276614
[AFR2020] NGC5907 GC162,229.1459,56.312416,GlC,3460568445270904682,8103374001657463457
[AFR2020] NGC5907 GC163,228.75363,56.31295,GlC,3612966617263693860,-4854853718313861735
[AFR2020] NGC5907 GC164,229.31648,56.314137,GlC,-2356652103259373246,3653617618765472249
[AFR2020] NGC5907 GC165,229.04967,56.314823,GlC,1665645762569576091,-3017883143041978208
[AFR2020] NGC5907 GC166,229.2246,56.316093,GlC,2106629105384474878,-8767997976819005589
[AFR2020] NGC5907 GC167,228.81145,56.31653,GlC,8364037351102245245,-3240961889788281200
[AFR2020] NGC5907 GC168,228.73848,56.317085,GlC,-4829964530131563194,4054896359510349012
[AFR2020] NGC5907 GC169,229.19063,56.31895,GlC,-9141784326700858651,1747330553984224293
[AFR2020] NGC5907 GC170,229.11545,56.31904,GlC,1672709980173039876,-6397839503015088299
[AFR2020] NGC5907 GC171,229.20393,56.32011,GlC,5862106041672311763,-7279348050352201209
[AFR2020] NGC5907 GC172,229.3193,56.321617,GlC,3747211726729837734,1798600593829763854
[AFR2020] NGC5907 GC173,228.88257,56.323376,GlC,-7221440538370870617,-3556183744095532484
[AFR2020] NGC5907 GC174,229.21916,56.324375,GlC,-5355515213776284833,2920169482924513447
[AFR2020] NGC5907 GC175,229.24976,56.32412300000001,GlC,3760576635852252968,-7762104362598089997
[AFR2020] NGC5907 GC176,228.68748,56.32553,GlC,4401332832544496889,6498437721049636460
[AFR2020] NGC5907 GC177,228.729,56.325294,GlC,7011985076695864148,-2718596894235107053
[AFR2020] NGC5907 GC178,229.25955,56.326595,GlC,-1767520660695104820,1589476256925958810
[AFR2020] NGC5907 GC179,228.62021,56.32927,GlC,-2968916954736035872,1921311674863289408
[AFR2020] NGC5907 GC180,229.22455,56.32910999999999,GlC,-2941892765107997591,-3655863302345204904
KAZF 5907-2,228.94464,56.33023,GlC,135719202299709881,8581207667442010086
[AFR2020] NGC5907 GC182,229.26105,56.32925999999999,GlC,6343436656866206435,2126747094439369052
KAZF 5907-19,228.98257,56.33012800000001,GlC,-5549142257751182082,8624372429886989666
KAZF 5907-21,228.98373,56.33237,GlC,-5509811245556887590,-4861706864220629240
[AFR2020] NGC5907 GC185,229.11798,56.33263,GlC,3729326641739012766,7588093456084160051
KAZF 5907-1,228.91705,56.33404,GlC,-5165359626682444385,-5954731022362668116
[AFR2020] NGC5907 GC187,229.21297,56.333584,GlC,8833578158500349569,-1942791350533929064
[AFR2020] NGC5907 GC188,229.07977,56.339066,GlC,59505721256241629,-4087158473370760925
[AFR2020] NGC5907 GC189,228.59177,56.33879,GlC,8857341078786192147,110896097873959083
[AFR2020] NGC5907 GC190,228.77733,56.340263,GlC,5639387291468307841,-8508289105915725018
[AFR2020] NGC5907 GC191,228.71089,56.34183999999999,GlC,874194140411671947,188595966860395313
[AFR2020] NGC5907 GC192,229.1416,56.34123,GlC,-4984732271448556694,2778002216385634263
[AFR2020] NGC5907 GC193,229.28305,56.345806,GlC,1469117463163222930,-1190404696081087684
[AFR2020] NGC5907 GC194,229.26788,56.34992,GlC,-7741349517535178657,8753929834176901125
[AFR2020] NGC5907 GC195,228.80127,56.351635,GlC,866978549754729877,-1020680013738058984
[AFR2020] NGC5907 GC196,228.60042,56.351555,GlC,-6954529216558237596,-3408552945950746663
[AFR2020] NGC5907 GC197,228.9129,56.352833,GlC,-2597807468081333527,-4452756331336828544
[AFR2020] NGC5907 GC198,229.0381,56.353565,GlC,-5588054345736849653,-4246065659528953986
[AFR2020] NGC5907 GC199,228.69861,56.35403,GlC,-1373719751611860466,168757401857882072
KAZF 5907-3,228.94543,56.353825,GlC,5061694048199963043,-9006316910270899765
[AFR2020] NGC5907 GC201,228.73235,56.35446,GlC,-3223338559372992837,929973636327327594
[AFR2020] NGC5907 GC202,228.67197,56.35495,GlC,134592342223214224,1912827166550369361
[AFR2020] NGC5907 GC203,228.95778,56.357723,GlC,2802745656701064479,8198802720468917467
[AFR2020] NGC5907 GC204,228.63966,56.35721,GlC,-8311823683130950685,4686520842024740371
[AFR2020] NGC5907 GC205,229.08786,56.361298,GlC,4796394264839317951,-3959247586595877342
[AFR2020] NGC5907 GC206,228.95026,56.36327,GlC,7835344993501172611,8171209955837008557
[AFR2020] NGC5907 GC207,229.02538,56.365166,GlC,-2977487807683295510,1879542395521009101
[AFR2020] NGC5907 GC208,228.99422,56.536625,GlC,-1679951900223022355,-2548187757024581813
[AFR2020] NGC5907 GC209,228.93791,56.535553,GlC,-1653156953482953367,-6226904730580471665
[AFR2020] NGC5907 GC210,229.18134,56.439873,GlC,-1498813696144966130,-1951316617746005453
[AFR2020] NGC5907 GC211,228.73566,56.438404,GlC,-1332014356211782508,-1627794770384749457
[AFR2020] NGC5907 GC212,228.85287,56.438374,GlC,989001281687972116,-644386970804863715
[AFR2020] NGC5907 GC213,228.63696,56.420223,GlC,-5296579706221793922,-2347667239133214719
[AFR2020] NGC5907 GC214,229.27002,56.419823,GlC,6774598031703390329,1733381809059191871
[AFR2020] NGC5907 GC215,228.78746,56.413166,GlC,-1099142971581516269,-5035633109669509599
[AFR2020] NGC5907 GC216,229.06856,56.41427,GlC,7200573551786666300,562596992518307212
[AFR2020] NGC5907 GC217,228.70099,56.41162,GlC,2637198772027114406,-939698364464762038
[AFR2020] NGC5907 GC218,229.03622,56.40844299999999,GlC,-4569556353715434218,8350675614968871338
[AFR2020] NGC5907 GC219,228.8477,56.40405299999999,GlC,-1193620303658382919,-6995120496915336143
[AFR2020] NGC5907 GC220,228.65811,56.40371,GlC,432480193218969685,-4456452829429377830
[AFR2020] NGC5907 GC221,229.10986,56.402832,GlC,3697219850146358548,5668106455475002886
[AFR2020] NGC5907 GC222,229.27785,56.39135,GlC,-2797109761746892177,-3325949941425150214
[AFR2020] NGC5907 GC223,228.71141,56.39322299999999,GlC,-8259343188751019371,-3724040126351393467
[AFR2020] NGC5907 GC224,228.63423,56.392677,GlC,-4687539959235039065,8744414126126095462
[AFR2020] NGC5907 GC225,228.64046,56.388622,GlC,-6755946791609195865,-4615488746763460422
[AFR2020] NGC5907 GC226,228.7782,56.387123,GlC,-4641883319910735476,1621626370846799450
[AFR2020] NGC5907 GC227,229.24327,56.3863,GlC,6138233155450585615,-6956923443935962937
[AFR2020] NGC5907 GC228,229.2327,56.38468,GlC,1017600437803423149,7394447619872977214
[AFR2020] NGC5907 GC229,229.22098,56.384987,GlC,-4019675818846618309,-6819979807237454538
[AFR2020] NGC5907 GC230,229.06158,56.37945,GlC,-5094920735475299719,423253399356058389
[AFR2020] NGC5907 GC231,228.965,56.37547,GlC,2201048966478008978,-6057843066736725790
[AFR2020] NGC5907 GC232,229.21057,56.37411,GlC,-2539871551128494172,28382958153628864
[AFR2020] NGC5907 GC233,229.12764,56.371475,GlC,2232055156615144782,9154448757049766432
[AFR2020] NGC5907 GC234,228.99738,56.369247,GlC,8003704633511596053,175301545232818624
[AFR2020] NGC5907 GC235,228.94513,56.37099,GlC,4824440375271118588,-6186131680774745486
