obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
13844,archived,Sgr A*,266.41667,-29.00781,56118.9659375,ACIS-S,HETG,20060.0,GO,Baganoff,56119,6549
13845,archived,Sgr A*,266.41667,-29.00781,56066.4462037037,ACIS-S,HETG,135310.0,GO,Baganoff,56070,6550
13846,archived,Sgr A*,266.41667,-29.00781,56063.4453240741,ACIS-S,HETG,56210.0,GO,Baganoff,56072,6551
13847,archived,Sgr A*,266.41667,-29.00781,56047.6783796296,ACIS-S,HETG,154060.0,GO,Baganoff,56050,6552
13848,archived,Sgr A*,266.41667,-29.00781,56056.5019560185,ACIS-S,HETG,98160.0,GO,Baganoff,56058,6553
13849,archived,Sgr A*,266.41667,-29.00781,56058.137974537,ACIS-S,HETG,178740.0,GO,Baganoff,56063,6554
13850,archived,Sgr A*,266.41667,-29.00781,55963.0260185185,ACIS-S,HETG,60060.0,GO,Baganoff,55965,6555
13851,archived,Sgr A*,266.41667,-29.00781,56216.7838657407,ACIS-S,HETG,107060.0,GO,Baganoff,56219,6556
13852,archived,Sgr A*,266.41667,-29.00781,56143.1094444444,ACIS-S,HETG,156570.0,GO,Baganoff,56145,6557
13853,archived,Sgr A*,266.41667,-29.00781,56122.0258912037,ACIS-S,HETG,73670.0,GO,Baganoff,56128,6558
13854,archived,Sgr A*,266.41667,-29.00781,56006.425150463,ACIS-S,HETG,23060.0,GO,Baganoff,56007,6559
13855,archived,Sgr A*,266.41667,-29.00781,56008.4755787037,ACIS-S,HETG,20060.0,GO,Baganoff,56009,6560
13856,archived,Sgr A*,266.41667,-29.00781,56001.364837963,ACIS-S,HETG,40060.0,GO,Baganoff,56002,6561
13857,archived,Sgr A*,266.41667,-29.00781,56003.3734375,ACIS-S,HETG,39550.0,GO,Baganoff,56004,6562
14392,archived,Sgr A*,266.41667,-29.00781,55966.2618402778,ACIS-S,HETG,59250.0,GO,Baganoff,55974,6563
14393,archived,Sgr A*,266.41667,-29.00781,55968.4257291667,ACIS-S,HETG,41540.0,GO,Baganoff,55972,6564
