obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row,frame_hash
28230,archived,Sgr A*,266.41683,-29.00783,60406.3019328704,ACIS-S,NONE,25090.0,GO,Haggard,60590,6529,3031576281370949570
28231,archived,Sgr A*,266.41683,-29.00783,60408.3082407407,ACIS-S,NONE,22890.0,GO,Haggard,60591,6530,-5820630874854939396
28232,archived,Sgr A*,266.41683,-29.00783,60409.3109490741,ACIS-S,NONE,25090.0,GO,Haggard,60593,6531,-1409983044247213016
29496,archived,Sgr A*,266.41683,-29.00783,60559.830787037,ACIS-S,NONE,27290.0,GO,Haggard,60743,6532,-2700796402559593717
31019,observed,Sgr A*,266.41683,-29.00783,60892.2543865741,ACIS-S,NONE,25090.0,GO,Hora,61077,6533,-7981887879222043270
31020,observed,Sgr A*,266.41683,-29.00783,60894.8825462963,ACIS-S,NONE,25090.0,GO,Hora,61079,6534,-2909451492998721204
31021,observed,Sgr A*,266.41683,-29.00783,60896.7755902778,ACIS-S,NONE,26930.0,GO,Hora,61081,6535,-8559601854394658230
31022,observed,Sgr A*,266.41683,-29.00783,60898.8443287037,ACIS-S,NONE,26890.0,GO,Hora,61083,6536,9209850650705960727
9169,archived,Sgr A*,266.41667,-29.00781,54591.1612384259,ACIS-I,NONE,27960.0,GO,Zadeh,54957,6537,-5273526047647090508
9170,archived,Sgr A*,266.41667,-29.00781,54592.1245949074,ACIS-I,NONE,27150.0,GO,Zadeh,54958,6538,-3540310236399612360
9171,archived,Sgr A*,266.41667,-29.00781,54596.1367824074,ACIS-I,NONE,28040.0,GO,Zadeh,54962,6539,-4500410105486589742
9172,archived,Sgr A*,266.41667,-29.00781,54597.1497800926,ACIS-I,NONE,27790.0,GO,Zadeh,54964,6540,-2760162366138400856
9173,archived,Sgr A*,266.41667,-29.00781,54673.8887152778,ACIS-I,NONE,28130.0,GO,Zadeh,55040,6541,-3652176704800124490
9174,archived,Sgr A*,266.41667,-29.00781,54672.9095486111,ACIS-I,NONE,29180.0,GO,Zadeh,55039,6542,-9216321066058082969
13838,archived,Sgr A*,266.41667,-29.00781,56140.7287615741,ACIS-S,HETG,99560.0,GO,Baganoff,56142,6543,2257844451248490849
13839,archived,Sgr A*,266.41667,-29.00781,56132.2937384259,ACIS-S,HETG,176250.0,GO,Baganoff,56135,6544,4346350388083611331
13840,archived,Sgr A*,266.41667,-29.00781,56134.8346296296,ACIS-S,HETG,162520.0,GO,Baganoff,56138,6545,4191300837151574492
13841,archived,Sgr A*,266.41667,-29.00781,56125.8796180556,ACIS-S,HETG,45070.0,GO,Baganoff,56127,6546,8379537106459046635
13842,archived,Sgr A*,266.41667,-29.00781,56129.4949189815,ACIS-S,HETG,191760.0,GO,Baganoff,56133,6547,5139117079198819703
13843,archived,Sgr A*,266.41667,-29.00781,56222.6672222222,ACIS-S,HETG,120680.0,GO,Baganoff,56231,6548,6001020532547805202
13844,archived,Sgr A*,266.41667,-29.00781,56118.9659375,ACIS-S,HETG,20060.0,GO,Baganoff,56119,6549,2746123587208581135
13845,archived,Sgr A*,266.41667,-29.00781,56066.4462037037,ACIS-S,HETG,135310.0,GO,Baganoff,56070,6550,-73305539878771760
13846,archived,Sgr A*,266.41667,-29.00781,56063.4453240741,ACIS-S,HETG,56210.0,GO,Baganoff,56072,6551,-884020303674886036
13847,archived,Sgr A*,266.41667,-29.00781,56047.6783796296,ACIS-S,HETG,154060.0,GO,Baganoff,56050,6552,-8784569139825859989
13848,archived,Sgr A*,266.41667,-29.00781,56056.5019560185,ACIS-S,HETG,98160.0,GO,Baganoff,56058,6553,6903983767106954636
13849,archived,Sgr A*,266.41667,-29.00781,56058.137974537,ACIS-S,HETG,178740.0,GO,Baganoff,56063,6554,-1850000969972082740
13850,archived,Sgr A*,266.41667,-29.00781,55963.0260185185,ACIS-S,HETG,60060.0,GO,Baganoff,55965,6555,-8154921295563289783
13851,archived,Sgr A*,266.41667,-29.00781,56216.7838657407,ACIS-S,HETG,107060.0,GO,Baganoff,56219,6556,393859196246339463
13852,archived,Sgr A*,266.41667,-29.00781,56143.1094444444,ACIS-S,HETG,156570.0,GO,Baganoff,56145,6557,7370125203106873675
13853,archived,Sgr A*,266.41667,-29.00781,56122.0258912037,ACIS-S,HETG,73670.0,GO,Baganoff,56128,6558,8678424516587967612
13854,archived,Sgr A*,266.41667,-29.00781,56006.425150463,ACIS-S,HETG,23060.0,GO,Baganoff,56007,6559,8682059550867141280
13855,archived,Sgr A*,266.41667,-29.00781,56008.4755787037,ACIS-S,HETG,20060.0,GO,Baganoff,56009,6560,-4193933455962052402
13856,archived,Sgr A*,266.41667,-29.00781,56001.364837963,ACIS-S,HETG,40060.0,GO,Baganoff,56002,6561,7301858746920354769
13857,archived,Sgr A*,266.41667,-29.00781,56003.3734375,ACIS-S,HETG,39550.0,GO,Baganoff,56004,6562,-2762022618386282495
14392,archived,Sgr A*,266.41667,-29.00781,55966.2618402778,ACIS-S,HETG,59250.0,GO,Baganoff,55974,6563,-1933782520714237614
14393,archived,Sgr A*,266.41667,-29.00781,55968.4257291667,ACIS-S,HETG,41540.0,GO,Baganoff,55972,6564,-5971842265261258034
14394,archived,Sgr A*,266.41667,-29.00781,55967.1363194444,ACIS-S,HETG,18060.0,GO,Baganoff,55972,6565,-7047799036971501633
14413,archived,Sgr A*,266.41667,-29.00781,56007.2811342593,ACIS-S,HETG,14720.0,GO,Baganoff,56008,6566,-851746025701616271
14414,archived,Sgr A*,266.41667,-29.00781,56009.7421064815,ACIS-S,HETG,20060.0,GO,Baganoff,56011,6567,-7987778754350127182
14427,archived,Sgr A*,266.41667,-29.00781,56053.8340393519,ACIS-S,HETG,80060.0,GO,Baganoff,56056,6568,-2698655913932467968
14432,archived,Sgr A*,266.41667,-29.00781,56138.538912037,ACIS-S,HETG,74270.0,GO,Baganoff,56140,6569,6545471700490007670
14438,archived,Sgr A*,266.41667,-29.00781,56065.1865740741,ACIS-S,HETG,25790.0,GO,Baganoff,56068,6570,-1935823091089370992
14439,archived,Sgr A*,266.41667,-29.00781,56145.9284606481,ACIS-S,HETG,111730.0,GO,Baganoff,56152,6571,-3422029041643063334
14460,archived,Sgr A*,266.41667,-29.00781,56117.9396180556,ACIS-S,HETG,24060.0,GO,Baganoff,56119,6572,-6937813810056534854
14461,archived,Sgr A*,266.41667,-29.00781,56120.2421875,ACIS-S,HETG,50970.0,GO,Baganoff,56127,6573,766346865619591132
14462,archived,Sgr A*,266.41667,-29.00781,56206.6888194444,ACIS-S,HETG,133390.0,GO,Baganoff,56218,6574,-788265821892303345
14463,archived,Sgr A*,266.41667,-29.00781,56216.0364351852,ACIS-S,HETG,30770.0,GO,Baganoff,56218,6575,-71569050104092349
14465,archived,Sgr A*,266.41667,-29.00781,56126.9747453704,ACIS-S,HETG,44350.0,GO,Baganoff,56133,6576,-7612369154658172394
14466,archived,Sgr A*,266.41667,-29.00781,56128.5257986111,ACIS-S,HETG,45080.0,GO,Baganoff,56131,6577,-5396709262935432457
14468,archived,Sgr A*,266.41667,-29.00781,56229.9875925926,ACIS-S,HETG,146060.0,GO,Baganoff,56236,6578,-940855960790460674
15568,archived,Sgr A*,266.41667,-29.00781,56218.3717939815,ACIS-S,HETG,36060.0,GO,Baganoff,56222,6579,-1328077610228632626
15570,archived,Sgr A*,266.41667,-29.00781,56225.1463310185,ACIS-S,HETG,68710.0,GO,Baganoff,56229,6580,-8010230519780825718
14941,archived,Sgr A*,266.41667,-29.00781,56388.0571759259,ACIS-I,NONE,20080.0,GO,Baganoff,56754,6581,4941440132343851144
14942,archived,Sgr A*,266.41667,-29.00781,56396.6540277778,ACIS-I,NONE,20090.0,GO,Baganoff,56763,6582,7695309416236713276
14943,archived,Sgr A*,266.41667,-29.00781,56582.6527546296,ACIS-S,NONE,20070.0,GO,Baganoff,56948,6583,5402064394761904337
14944,archived,Sgr A*,266.41667,-29.00781,56555.2929398148,ACIS-S,NONE,20070.0,GO,Baganoff,56923,6584,2188880893177675467
14945,archived,Sgr A*,266.41667,-29.00781,56535.4247569444,ACIS-S,NONE,20070.0,GO,Baganoff,56903,6585,-2356526628453808181
14946,archived,Sgr A*,266.41667,-29.00781,56475.2837615741,ACIS-S,NONE,20070.0,GO,Baganoff,56841,6586,-9033411095584617418
16210,archived,Sgr A*,266.41667,-29.00781,56811.1237962963,ACIS-S,NONE,18770.0,GO,Haggard,56875,6587,-3212613805223283701
16211,archived,Sgr A*,266.41667,-29.00781,56730.4287037037,ACIS-S,NONE,46070.0,GO,Haggard,56762,6588,-9202868778988268728
16212,archived,Sgr A*,266.41667,-29.00781,56751.1009259259,ACIS-S,NONE,50070.0,GO,Haggard,56782,6589,-129147749847570623
16213,archived,Sgr A*,266.41667,-29.00781,56775.1138657407,ACIS-S,NONE,49570.0,GO,Haggard,56806,6590,-8357017354812695928
16214,archived,Sgr A*,266.41667,-29.00781,56797.0125578704,ACIS-S,NONE,50070.0,GO,Haggard,56829,6591,-3719404174163086894
16215,archived,Sgr A*,266.41667,-29.00781,56854.9463541667,ACIS-S,NONE,45710.0,GO,Haggard,56887,6592,7554815558000900360
16216,archived,Sgr A*,266.41667,-29.00781,56871.1462268519,ACIS-S,NONE,47070.0,GO,Haggard,56904,6593,5504149532043093644
16217,archived,Sgr A*,266.41667,-29.00781,56899.2007523148,ACIS-S,NONE,38070.0,GO,Haggard,56933,6594,2913022190281401824
16218,archived,Sgr A*,266.41667,-29.00781,56950.3481597222,ACIS-S,NONE,40070.0,GO,Haggard,56982,6595,-6551542627670283494
16597,archived,Sgr A*,266.41667,-29.00781,56842.8660416667,ACIS-S,NONE,18150.0,GO,Haggard,56875,6596,-4907685035695719308
15040,archived,Sgr A,266.41684,-29.00781,56437.484375,ACIS-S,HETG,24360.0,GO,Haggard,56491,6597,-5303743076487180090
15651,archived,Sgr A,266.41684,-29.00781,56448.8968865741,ACIS-S,HETG,14110.0,GO,Haggard,56491,6598,-1339226237427014155
15654,archived,Sgr A,266.41684,-29.00781,56452.1841435185,ACIS-S,HETG,9260.0,GO,Haggard,56491,6599,-2298611136479923826
242,archived,SGR A*,266.41667,-29.00778,51442.1124537037,ACIS-I,NONE,46510.0,GTO,Garmire,51851,6601,1853958192027542295
