RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
49.55494509648,5.22358733008,3277231845960576,0.1756,0.1882,0.1314,0.2016,1.331,-0.265,0.267,-1.305,0.241,0.959,635.03317,1.6484,18.680376,271.92,14.594,19.252434,511.63,7.456,17.975496,1.276938,,,,,0,0,0,0,0,0,0,0,1,0,0,4492.8,4.8986,-1.6396,1393.0453,0.0061,,114260495549728848,1237670015663800320,,,,J031813.18+051325.0,,N9X0000799,,03181320+0513252,,49.55494627779,5.2235931279
49.56307137502,5.22616375233,3277266206998528,1.9755,1.7554,,,,,,,,,79.34279,1.2816,20.938599,44.235,11.635,21.224125,110.56,7.4519,19.6389,1.585224,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114270495630691888,1237670015663800832,,,,J031815.13+051333.7,,,,,,49.56307137502,5.22616375233
49.53799776278,5.22469074246,3277300566736640,29.5506,46.9583,,,,,,,,,65.64493,1.7911,21.144363,,,,107.0,18.513,19.674427,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1237670015663800576,,,,J031809.11+051328.4,,,,,,49.53799776278,5.22469074246
49.50531966335,5.2157234236,3277369284508288,0.0177,0.0196,1.1393,0.0208,14.833,-3.845,0.026,-14.326,0.026,1.063,41187.28087,10.361,14.150459,21678.0,22.52,14.498475,28047.0,19.919,13.628175,0.8703,-20.77,6.28,,13.495097,0,0,0,0,0,0,0,0,1,1,0,6099.0,4.2478,-0.7494,819.1716,0.4404,,114250495053369376,1237670015663800320,,,URAT1-477012156,J031801.27+051256.6,15061,N9VS000285,,03180129+0512568,,49.50533682549,5.21578709629
49.50170241052,5.23004775829,3277438004260352,1.7189,2.2862,,,,,,,,,80.85987,1.2009,20.918034,72.413,16.243,20.689001,52.913,11.052,20.438986,0.250015,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114270495017106560,1237670015663800576,,,,,,N9VS005671,,,,49.50170241052,5.23004775829
49.48822020458,5.23074028898,3277438004260608,0.3945,0.4328,1.0798,0.4665,7.149,6.376,0.615,-3.233,0.588,0.985,214.03507,1.0209,19.861155,59.686,4.0654,20.898867,263.09,11.036,18.697632,2.201235,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114270494882137376,1237670015663800576,,,,J031757.16+051350.8,,N9VS005673,,03175717+0513509,,49.48819174684,5.23075465921
49.515415995,5.24223326122,3277575443025280,0.1426,0.1572,0.5487,0.1771,7.605,-0.917,0.194,-7.549,0.192,1.04,830.36468,1.7475,18.389194,314.8,12.211,19.093456,710.64,11.449,17.618765,1.474691,,,,,0,0,0,0,0,0,0,0,1,0,0,4215.5,4.8068,-0.9564,1169.9209,0.0053,,114290495154251200,1237670015663800320,,,URAT1-477012158,J031803.70+051431.9,,N9VS002385,,03180372+0514322,,49.51542008951,5.24226681256
49.44007598619,5.20028395103,3277644162680064,0.379,0.364,1.7099,0.4383,18.574,14.127,0.523,-12.059,0.464,1.037,234.16833,0.96401,19.763546,52.511,9.5301,21.03791,313.93,7.5541,18.505814,2.532097,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114240494400460848,1237670015663735296,,,,J031745.64+051201.2,,N9VS005584,,03174557+0512013,,49.44001293793,5.20033754618
49.43335275069,5.19965308866,3277648457988224,0.0983,0.0931,0.2718,0.1134,3.251,1.351,0.129,-2.957,0.119,1.011,1366.52654,1.8103,17.848322,649.99,10.125,18.306278,1021.1,16.853,17.22525,1.081028,,,,,0,0,0,0,0,0,0,0,1,1,0,4908.9,4.7596,-1.5766,1500.0096,0.0047,,114240494333510064,1237670015663735040,,,URAT1-476012238,J031744.01+051158.6,,N9VS002292,,03174398+0511584,,49.43334672208,5.19966623231
49.43529200404,5.20107328827,3277648457660928,0.7902,0.7899,-0.0898,0.9566,15.499,7.057,1.202,-13.799,1.268,1.101,134.09395,1.1007,20.368843,23.023,8.7452,21.933117,161.1,9.4604,19.230164,2.702953,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114240494352721792,1237670015663735296,,,,J031744.46+051203.7,,N9VS005585,,,,49.43526050976,5.20113461718
