PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
224405,00 00 44.9,-81 58 03,G,0,0.78,0.39,25.0,0,9125033897858179820
636919,00 00 44.9,-36 25 33,G,0,0.4,0.19,149.0,0,-6025520174580405274
1340445,00 00 44.9,+08 09 29,G,0,0.89,0.29,56.0,NPM1G+07.0536,4336077684233696729
771735,00 00 44.9,-26 05 09,G,0,0.34,0.14,54.0,0,-1095056513314745272
772136,00 00 44.9,-26 02 55,G,0,0.36,0.1,51.0,0,511154106710105361
573466,00 00 44.9,-41 39 26,G,0,0.36,0.16,105.0,0,-7562734432817658383
226338,00 00 45.0,-81 03 25,G,0,0.43,0.22,118.0,0,-5074509341821275361
60,00 00 45.1,+28 22 19,GM,SO-a,0.61,0.2,157.0,HCG99D,-6601877789071645253
915338,00 00 45.1,-15 07 42,G,0,0.54,0.13,43.0,0,2336598278228452151
1141833,00 00 45.2,-00 29 58,G,0,0.42,0.21,93.0,0,6898208209528890938
475936,00 00 45.2,-49 31 37,G,0,0.48,0.33,71.0,0,2621513014835201800
527732,00 00 45.3,-45 20 52,G,0,0.56,0.39,118.0,0,1441712924092211664
143146,00 00 45.4,-68 05 18,G,0,0.61,0.13,75.0,0,-8318874653708450416
848556,00 00 45.4,-19 55 54,G,0,0.58,0.17,128.0,0,3678869279661272881
3094159,00 00 45.6,-17 44 39,G,0,0.0,0.0,0.0,NPM1G-18.0638,1255021663969170391
547730,00 00 45.6,-43 31 29,G,0,0.37,0.06,96.0,0,5853971973249365678
642035,00 00 45.6,-35 59 54,G,0,0.51,0.33,34.0,0,1020247142076537375
771302,00 00 45.8,-26 07 18,G,0,0.62,0.09,118.0,0,2009555535617530118
1473503,00 00 45.8,+15 02 05,G,0,0.45,0.01,0.0,0,-4262883433151506337
1039746,00 00 45.9,-05 50 41,G,0,0.42,0.21,125.0,0,-149618142488005296
765060,00 00 45.9,-26 41 18,G,0,0.39,0.09,144.0,0,921684740442600724
329728,00 00 45.9,-63 43 54,G,0,0.34,0.08,73.0,0,5612215606550671520
750405,00 00 46.0,-27 44 52,G,0,0.49,0.23,174.0,0,-672122896283118789
896314,00 00 46.0,-16 34 52,G,0,0.52,0.22,96.0,0,3257543861655075650
554562,00 00 46.1,-43 00 09,G,0,0.44,0.35,155.0,0,977814641425781350
556439,00 00 46.1,-42 52 56,G,0,0.54,0.27,52.0,0,-3702189659996340590
2607440,00 00 46.2,+60 49 30,G,0,0.54,0.5,141.0,0,6940992465744529069
781006,00 00 46.2,-25 15 09,G,0,0.43,0.1,147.0,0,-1705162350014605227
781771,00 00 46.3,-25 10 59,G,0,0.37,0.12,14.0,0,-1566542707362383449
1342937,00 00 46.3,+08 15 28,G,0,0.56,0.09,180.0,0,-4588202994735206692
373836,00 00 46.3,-59 06 58,G,0,0.47,0.04,0.0,0,3818213421330148380
849253,00 00 46.3,-19 52 53,G,0,0.38,0.18,93.0,0,8596475253162771620
508513,00 00 46.4,-46 57 29,G,0,0.45,0.15,8.0,0,8678807956951530541
856595,00 00 46.6,-19 20 19,G,0,0.48,0.14,91.0,0,-3384928989486537875
1095685,00 00 46.6,-02 18 32,G,0,0.63,0.04,0.0,0,-5213438192423482783
62,00 00 46.8,-77 34 49,G,Sbc,1.0,0.72,12.0,ESO12-13              ESO-LV120130,-2555871941602321377
736035,00 00 46.8,-28 53 57,G,0,0.33,0.07,93.0,0,-4469639583366427703
1015445,00 00 46.8,-07 38 42,G,0,0.34,0.08,123.0,0,-7315389339585546988
714679,00 00 46.9,-30 38 46,G,0,0.36,0.14,60.0,0,124340445477846872
143148,00 00 46.9,-30 23 09,G,0,0.0,0.0,0.0,0,5537827696665433584
63,00 00 47.0,+28 24 08,GM,0,0.97,0.05,43.0,UGC12899              MCG5-01-022           CGCG498-62            CGCG499-34            HCG99B,-8872889914565214141
1854274,00 00 47.1,+29 03 14,G,0,0.4,0.16,101.0,0,-403338451042319532
788372,00 00 47.2,-24 35 13,G,0,0.42,0.26,20.0,0,984329377069200254
707275,00 00 47.3,-31 15 35,G,0,0.48,0.09,45.0,0,7173950244799785948
107481,00 00 47.3,-41 26 52,G,0,0.42,0.08,26.0,LCRSB235813.5-414335,4265056879576522034
215025,00 00 47.3,+28 55 59,G,0,0.79,0.19,49.0,0,5604914274696472210
2794832,00 00 47.4,-40 24 55,G,0,0.0,0.0,0.0,0,-1450994878155745580
919164,00 00 47.4,-14 50 50,G,0,0.32,0.08,21.0,0,5767827697305603541
732615,00 00 47.4,-29 09 40,G,0,0.38,0.17,79.0,0,20339416122364138
334085,00 00 47.6,-63 15 40,G,0,0.33,0.04,0.0,0,2482750085755037001
654593,00 00 47.7,-35 00 14,G,0,0.45,0.07,102.0,0,-3807071100369117758
938111,00 00 47.8,-13 25 43,G,0,0.61,0.43,178.0,0,-3654266549072591774
886444,00 00 47.9,-17 14 32,G,0,0.64,0.5,118.0,0,-3941967884105468557
513388,00 00 48.0,-46 34 27,G,0,0.53,0.1,2.0,0,5818612419621662377
891663,00 00 48.0,-16 54 58,G,0,0.8,0.25,100.0,0,-1527500018926614947
1454005,00 00 48.0,+14 16 37,G,0,0.72,0.49,77.0,0,-2811331201764068123
718514,00 00 48.0,-30 19 47,G,0,0.35,0.15,156.0,0,-5080431860386730549
515822,00 00 48.1,-46 22 19,G,0,0.38,0.16,79.0,0,-2312497180461672472
637550,00 00 48.1,-36 22 32,G,0,0.58,0.22,161.0,0,5334842518112673737
736802,00 00 48.1,-28 50 18,G,0,0.84,0.68,114.0,0,6706712320191453796
128404,00 00 48.2,-55 11 19,G,Sc,0.82,0.47,161.0,0,5216267391347850020
417164,00 00 48.2,-54 39 54,G,0,0.46,0.09,168.0,0,1306141353772838360
868365,00 00 48.2,-18 25 14,G,0,0.39,0.11,83.0,0,3415703393658187910
550556,00 00 48.2,-43 17 32,G,0,0.59,0.6,60.0,0,3050076503310190522
488536,00 00 48.3,-48 19 57,G,0,0.51,0.45,98.0,0,6198473859234390948
1784525,00 00 48.4,+26 40 08,G,0,0.39,0.16,38.0,0,8738150097745435626
61,00 00 48.4,-05 34 47,G,SO-a,0.79,0.18,66.0,MCG-1-01-021,6932254265297709288
1048521,00 00 48.5,-05 09 33,G,0,0.35,0.1,137.0,0,7107240915739664358
410613,00 00 48.5,-55 18 46,G,0,0.51,0.27,126.0,0,2441370062346367342
923300,00 00 48.5,-14 32 26,G,0,0.56,0.18,62.0,0,-1738596730497661962
1836058,00 00 48.5,+28 26 59,G,0,0.59,0.08,165.0,0,-3154458238521414122
501643,00 00 48.6,-47 25 16,G,0,0.71,0.22,52.0,0,2674491132529858570
124311,00 00 48.7,-42 01 06,G,0,0.5,0.15,80.0,LCRSB235814.8-421748,-8739962523574232474
475693,00 00 48.7,-49 32 55,G,0,0.63,0.48,129.0,0,6641942862775491876
742341,00 00 48.7,-28 23 02,G,0,0.42,0.25,112.0,0,-8075958134957353355
1023662,00 00 48.7,-07 09 12,G,0,0.45,0.2,55.0,0,-7668704201066750560
733005,00 00 48.9,-29 07 40,G,0,0.46,0.2,20.0,0,-7367352303146051121
2794833,00 00 48.9,-40 13 19,G,0,0.0,0.0,0.0,0,4979382543981659827
736663,00 00 49.0,-28 50 57,G,0,0.43,0.19,121.0,0,5437874777725702609
601927,00 00 49.0,-39 05 30,G,0,0.36,0.1,142.0,0,-4772773281194137039
2111336,00 00 49.0,+37 51 29,G,0,0.61,0.42,74.0,0,-3923471019684711453
900069,00 00 49.0,-16 17 12,G,0,0.56,0.36,95.0,0,-166368342778095803
2445995,00 00 49.1,+53 36 50,G,0,0.49,0.18,103.0,0,-6439036915787422996
1088521,00 00 49.1,-02 33 51,G,0,0.32,0.08,136.0,0,3202083034199807636
143151,00 00 49.2,-48 31 00,G,0,0.59,0.11,83.0,0,6372741823280325786
746288,00 00 49.2,-28 03 54,G,0,0.53,0.44,131.0,0,-8482649544603415514
2794834,00 00 49.2,-39 31 06,G,0,0.0,0.0,0.0,0,-4494438202999162897
3098476,00 00 49.3,+02 54 14,G,0,0.42,0.0,0.0,0,2925876782126981250
92826,00 00 49.3,-32 48 04,G,Sc,0.75,0.7,173.0,FGCE1878,5606766109353411736
659046,00 00 49.3,-34 40 26,G,0,0.53,0.37,163.0,0,-2564958665132693712
840956,00 00 49.4,-20 29 41,G,0,0.77,0.51,34.0,0,-4962529509086743654
1057197,00 00 49.4,-04 30 45,G,0,0.49,0.14,119.0,0,5141153280960285719
1197838,00 00 49.5,+01 32 06,G,0,0.82,0.25,0.0,0,7442503673889461802
198098,00 00 49.5,-25 53 55,G,0,0.6,0.3,47.0,DUKST537-39,1833402613041621199
1678189,00 00 49.5,+22 54 38,G,0,0.4,0.17,18.0,0,8415882677383486371
403827,00 00 49.5,-56 01 29,G,0,0.55,0.27,170.0,0,2519807371591215459
