toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec
1233.02,186.574063,-51.363052,64.5978,186.574063,-51.363052
1233.03,186.574063,-51.363052,64.5978,186.574063,-51.363052
1233.04,186.574063,-51.363052,64.5978,186.574063,-51.363052
1234.01,290.57223,26.319493,104.912,290.57223,26.319493
1235.01,152.218255,69.27662,39.6345,152.218255,69.27662
1236.01,286.040876,36.632536,159.658,286.040876,36.632536
1237.01,286.638391,39.487904,243.249,286.638391,39.487904
1237.02,286.638391,39.487904,243.249,286.638391,39.487904
1238.01,201.382339,68.836068,70.7145,201.382339,68.836068
1238.02,201.382339,68.836068,70.7145,201.382339,68.836068
1239.01,158.011286,84.030377,126.903,158.011286,84.030377
124.01,66.58263,-67.806354,809.252,66.58263,-67.806354
1205.01,127.128017,-74.954728,309.932,127.128017,-74.954728
1206.01,180.325704,-60.200439,1698.55,180.325704,-60.200439
1207.01,116.594329,-64.056009,113.758,116.594329,-64.056009
1208.01,30.508742,-83.227962,134.757,30.508742,-83.227962
1208.02,30.508742,-83.227962,134.757,30.508742,-83.227962
1208.03,30.508742,-83.227962,134.757,30.508742,-83.227962
1209.01,73.541918,-70.379109,173.833,73.541918,-70.379109
121.01,331.867517,-41.815511,182.169,331.867517,-41.815511
1210.01,66.221959,-73.333516,144.133,66.221959,-73.333516
1211.01,31.178933,-73.126759,133.335,31.178933,-73.126759
1212.01,87.874157,-70.991808,190.986,87.874157,-70.991808
1213.01,163.198824,-67.387472,161.33,163.198824,-67.387472
1214.01,285.049519,-84.448187,107.048,285.049519,-84.448187
1215.01,146.87585,-77.296816,34.6633,146.87585,-77.296816
1216.01,87.714849,-75.688563,99.5413,87.714849,-75.688563
1217.01,193.260548,-44.09936,463.223,193.260548,-44.09936
125.04,23.593425,-66.676349,111.059,23.593425,-66.676349
1250.01,269.807391,64.142644,66.3631,269.807391,64.142644
1251.01,273.529238,62.858243,185.952,273.529238,62.858243
1252.01,266.686079,70.784502,123.8346,266.686079,70.784502
1253.01,260.902889,64.862363,185.23,260.902889,64.862363
1254.01,239.201466,65.888838,199.039,239.201466,65.888838
1255.01,296.24462,74.062858,65.9501,296.24462,74.062858
1256.01,301.346363,38.228325,,301.346363,38.228325
1257.01,303.195436,18.104778,249.325,303.195436,18.104778
1258.01,209.484313,79.583322,154.944,209.484313,79.583322
1259.01,282.100166,79.256476,118.106,282.100166,79.256476
126.01,339.489275,-35.154203,573.027,339.489275,-35.154203
1260.01,157.144071,65.854199,73.5977,157.144071,65.854199
1260.02,157.144071,65.854199,73.5977,157.144071,65.854199
1260.03,157.144071,65.854199,73.5977,157.144071,65.854199
1261.01,268.016064,53.730699,199.964,268.016064,53.730699
1262.01,180.726502,74.061009,93.2276,180.726502,74.061009
1263.01,309.353641,22.654366,46.5539,309.353641,22.654366
1264.01,287.242092,57.344126,141.755,287.242092,57.344126
1265.01,292.24719,47.969543,341.079,292.24719,47.969543
1266.01,197.996583,65.833697,36.0118,197.996583,65.833697
1266.02,197.996583,65.833697,36.0118,197.996583,65.833697
1267.01,287.708814,47.33305,,287.708814,47.33305
1268.01,198.388583,62.30538,109.557,198.388583,62.30538
1269.01,249.69664,64.559181,172.138,249.69664,64.559181
1269.02,249.69664,64.559181,172.138,249.69664,64.559181
127.01,15.551889,-61.756133,140.225,15.551889,-61.756133
1270.01,293.032494,74.891073,171.138,293.032494,74.891073
1271.01,203.509956,53.728188,92.2589,203.509956,53.728188
1272.01,199.196204,49.861059,137.572,199.196204,49.861059
1273.01,214.120856,58.390253,177.118,214.120856,58.390253
1274.01,254.816154,65.747438,178.141,254.816154,65.747438
1275.01,320.201905,28.055829,138.591,320.201905,28.055829
1276.01,302.669134,40.668628,24.5209,302.669134,40.668628
1277.01,172.747799,66.796529,100.772,172.747799,66.796529
1277.02,172.747799,66.796529,100.772,172.747799,66.796529
1278.01,320.478444,35.648625,75.5759,320.478444,35.648625
1279.01,185.062873,56.201409,107.055,185.062873,56.201409
128.01,79.520938,-80.964384,68.4727,79.520938,-80.964384
1280.01,291.465322,61.776153,92.4381,291.465322,61.776153
1281.01,199.442645,71.721051,178.259,199.442645,71.721051
1282.01,314.268523,31.661019,444.586,314.268523,31.661019
