main_id,ra,dec,otype,frame_hash
[AFR2020] NGC5907 GC175,229.24976,56.32412300000001,GlC,-7762104362598089997
[AFR2020] NGC5907 GC176,228.68748,56.32553,GlC,6498437721049636460
[AFR2020] NGC5907 GC177,228.729,56.325294,GlC,-2718596894235107053
[AFR2020] NGC5907 GC178,229.25955,56.326595,GlC,1589476256925958810
[AFR2020] NGC5907 GC179,228.62021,56.32927,GlC,1921311674863289408
[AFR2020] NGC5907 GC180,229.22455,56.32910999999999,GlC,-3655863302345204904
KAZF 5907-2,228.94464,56.33023,GlC,8581207667442010086
[AFR2020] NGC5907 GC182,229.26105,56.32925999999999,GlC,2126747094439369052
KAZF 5907-19,228.98257,56.33012800000001,GlC,8624372429886989666
KAZF 5907-21,228.98373,56.33237,GlC,-4861706864220629240
[AFR2020] NGC5907 GC185,229.11798,56.33263,GlC,7588093456084160051
KAZF 5907-1,228.91705,56.33404,GlC,-5954731022362668116
[AFR2020] NGC5907 GC187,229.21297,56.333584,GlC,-1942791350533929064
[AFR2020] NGC5907 GC188,229.07977,56.339066,GlC,-4087158473370760925
[AFR2020] NGC5907 GC189,228.59177,56.33879,GlC,110896097873959083
[AFR2020] NGC5907 GC190,228.77733,56.340263,GlC,-8508289105915725018
[AFR2020] NGC5907 GC191,228.71089,56.34183999999999,GlC,188595966860395313
[AFR2020] NGC5907 GC192,229.1416,56.34123,GlC,2778002216385634263
[AFR2020] NGC5907 GC193,229.28305,56.345806,GlC,-1190404696081087684
[AFR2020] NGC5907 GC194,229.26788,56.34992,GlC,8753929834176901125
[AFR2020] NGC5907 GC195,228.80127,56.351635,GlC,-1020680013738058984
[AFR2020] NGC5907 GC196,228.60042,56.351555,GlC,-3408552945950746663
[AFR2020] NGC5907 GC197,228.9129,56.352833,GlC,-4452756331336828544
[AFR2020] NGC5907 GC198,229.0381,56.353565,GlC,-4246065659528953986
[AFR2020] NGC5907 GC199,228.69861,56.35403,GlC,168757401857882072
KAZF 5907-3,228.94543,56.353825,GlC,-9006316910270899765
[AFR2020] NGC5907 GC201,228.73235,56.35446,GlC,929973636327327594
[AFR2020] NGC5907 GC202,228.67197,56.35495,GlC,1912827166550369361
[AFR2020] NGC5907 GC203,228.95778,56.357723,GlC,8198802720468917467
[AFR2020] NGC5907 GC204,228.63966,56.35721,GlC,4686520842024740371
[AFR2020] NGC5907 GC205,229.08786,56.361298,GlC,-3959247586595877342
[AFR2020] NGC5907 GC206,228.95026,56.36327,GlC,8171209955837008557
