WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00007-0601,TDS1245,,1991,1991,356,356,0.5,0.5,10.82,11.15,-06 6340,X,,00 00 42.22,-06 00 53.9,00 00 42.22,-06 00 53.9
00007-1216,SKF 137,,1998,2016,353,355,2.5,2.7,15.0,17.0,,,,00 00 39.47,-12 15 52.9,00 00 39.47,-12 15 52.9
00007-1410,KPP  46,,1998,2016,74,75,3.4,3.4,14.1,14.1,,V,,00 00 42.53,-14 10 11.8,00 00 42.53,-14 10 11.8
00007-1640,LDS5153,,1960,2016,280,293,4.0,3.7,15.57,15.7,,VW,,00 00 48.34,-16 39 50.8,00 00 48.34,-16 39 50.8
00007-3044,LDS2069,,1954,2015,324,352,7.0,6.3,15.7,18.0,,V,,00 00 42.56,-30 43 25.1,00 00 42.56,-30 43 25.1
00007-5450,KPP2838,AB,2015,2016,322,322,3.8,3.8,11.23,16.12,,T,,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9
00007-5450,TOI 129,AC,1999,2015,162,162,73.6,73.6,10.6,18.6,,,,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9
00008+5016,TDS1246,,1991,2015,209,200,0.6,0.5,11.28,11.62,,,,00 00 49.01,+50 16 26.2,00 00 49.01,+50 16 26.2
00008+3647,ES  221,,1904,2021,234,234,14.8,15.5,8.35,10.31,+35 5153,T,,00 00 49.69,+36 46 48.4,00 00 49.69,+36 46 48.4
00008+1659,BAG  18,,2001,2022,37,325,0.5,0.7,8.79,12.6,+16 5027,O,,00 00 48.09,+16 59 17.5,00 00 48.09,+16 59 17.5
00008+1259,CVR 301,,1949,2016,194,194,28.3,28.2,17.1,17.2,,V,,00 00 46.64,+12 59 24.8,00 00 46.64,+12 59 24.8
00008+0630,GWP   2,,1955,2016,290,290,8.8,10.1,13.1,15.7,,N  R,,00 00 45.04,+06 29 43.8,00 00 45.04,+06 29 43.8
00008-3244,I  1478,,1925,2008,323,329,0.4,0.4,9.79,9.81,-3316804,,,00 00 50.04,-32 44 09.6,00 00 50.04,-32 44 09.6
00009+6023,MRI   4,,1954,2015,0,359,21.3,21.4,12.09,12.44,,,,00 00 51.56,+60 23 06.6,00 00 51.56,+60 23 06.6
