WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00005+5609,STI3078,0,1906,2015,189,194,12.1,13.7,12.5,12.7,0,0,0,00 00 32.82,+56 09 34.8,00 00 32.82,+56 09 34.8,7416458412175654531,4531193185161796509
00005+5515,KPP4402,0,2015,2016,18,18,2.0,2.0,11.9,12.4,0,T,0,00 00 27.75,+55 15 29.7,00 00 27.75,+55 15 29.7,5593160490791364340,-2106970681709991708
00005+5457,STI3076,0,1907,2015,270,277,6.0,8.4,11.5,13.0,0,0,0,00 00 30.27,+54 57 21.7,00 00 30.27,+54 57 21.7,-5990804189445710704,5420706881762344594
00005+4941,KPP1057,0,1995,2016,31,32,8.2,8.4,12.1,14.4,0,V,0,00 00 30.80,+49 40 57.4,00 00 30.80,+49 40 57.4,-5426198556258017315,135218119663081058
00005+4917,HU  700,0,1902,2016,341,339,4.7,4.7,9.6,14.5,+48 4210,0,0,00 00 28.58,+49 17 17.5,00 00 28.58,+49 17 17.5,4649752654783367061,4067156425758601538
00005+4556,TDS1239,0,1991,1991,126,126,0.6,0.6,11.93,12.12,0,X,0,00 00 32.61,+45 56 23.4,00 00 32.61,+45 56 23.4,4771229490310293584,5644235097869483746
00005+3114,COU 645,0,1970,2015,150,150,4.7,4.9,8.12,13.9,+30 5071,0,0,00 00 27.31,+31 13 33.4,00 00 27.31,+31 13 33.4,-8790341665338598016,6128869923697268486
00005+2820,SLW9015,0,2003,2016,119,120,1.9,1.9,16.8,16.8,0,0,0,00 00 31.52,+28 19 43.5,00 00 31.52,+28 19 43.5,8517518592402122755,3031576281370949570
00005+2031,COU 444,AB,1968,2016,39,40,3.9,4.3,10.1,13.4,+19 5186,0,0,00 00 31.46,+20 30 30.6,00 00 31.46,+20 30 30.6,-6756894077166255915,-5820630874854939396
00005-0124,ITF 164,0,1951,2017,209,210,3.3,3.3,14.8,18.6,0,V,0,00 00 32.59,-01 23 56.1,00 00 32.59,-01 23 56.1,5596289571869655254,-1409983044247213016
00005-0342,LDS6081,0,1954,2015,134,135,61.9,61.0,16.0,17.9,0,U,0,00 00 30.89,-03 42 08.1,00 00 30.89,-03 42 08.1,-7677740530111880652,-2700796402559593717
00005-0916,GWP   1,0,1954,2016,63,63,7.7,7.4,15.5,17.0,0,V,0,00 00 27.31,-09 15 58.7,00 00 27.31,-09 15 58.7,-8714925080684733893,-7981887879222043270
00005-7212,B  1902,0,1931,2016,244,242,2.8,2.8,9.82,11.95,-72 2794,0,0,00 00 32.16,-72 12 09.8,00 00 32.16,-72 12 09.8,4820617712066960416,-2909451492998721204
00006+5552,MRI  52,0,1999,2016,216,215,3.9,4.0,15.1,15.6,0,V,0,00 00 34.06,+55 52 13.6,00 00 34.06,+55 52 13.6,3781094334402409682,-8559601854394658230
00006+4539,UC  303,0,1951,2015,311,311,52.2,52.2,13.13,15.85,0,V,0,00 00 33.92,+45 39 27.7,00 00 33.92,+45 39 27.7,-8168230765100161653,9209850650705960727
00006+2101,AZC   1,0,1954,2016,342,342,14.1,14.3,13.3,18.7,0,V,0,00 00 37.04,+21 00 46.5,00 00 37.04,+21 00 46.5,-2797534874142117321,-5273526047647090508
00006-2916,TDS1240,0,1991,1991,288,288,0.6,0.6,11.54,12.12,0,X,0,00 00 35.40,-29 15 48.4,00 00 35.40,-29 15 48.4,-764223720808507218,-3540310236399612360
00006-5238,FIN 294,0,1930,2016,27,29,0.6,0.8,9.48,10.43,-5310566,N,0,00 00 34.89,-52 38 13.3,00 00 34.89,-52 38 13.3,115244536614942146,-4500410105486589742
00006-5306,HJ 5437,0,1836,2019,296,340,2.5,1.4,6.55,9.85,-5310565,O,0,00 00 34.35,-53 05 51.8,00 00 34.35,-53 05 51.8,850105287087936487,-2760162366138400856
00006-6641,GLI 289,0,1851,2021,270,274,2.3,3.0,7.69,9.17,-67 3997,0,0,00 00 38.13,-66 40 59.5,00 00 38.13,-66 40 59.5,7604911008708887352,-3652176704800124490
00007+6103,STI1249,AB,1913,2015,263,258,11.4,21.5,10.08,12.33,+60 2653,0,0,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1,640163928774857076,-9216321066058082969
00007+6103,NVL   8,AC,1954,2016,220,221,20.5,20.6,10.1,14.3,0,0,0,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1,1229415892918381845,2257844451248490849
00007+5614,TDS1241,0,1991,1991,236,236,0.6,0.6,11.31,11.62,0,X,0,00 00 39.42,+56 14 26.7,00 00 39.42,+56 14 26.7,-3505547017430570765,4346350388083611331
00007+5600,TDS1242,0,1991,1991,359,359,0.5,0.5,11.29,11.41,+55 3067,X,0,00 00 39.39,+56 00 13.2,00 00 39.39,+56 00 13.2,-3395231848818098082,4191300837151574492
00007+5417,TDS1243,0,1991,1991,109,109,0.5,0.5,11.04,11.05,0,X,0,00 00 42.34,+54 16 59.2,00 00 42.34,+54 16 59.2,-5197314098398396766,8379537106459046635
00007+2434,TDS1244,0,1991,1991,236,236,2.3,2.3,12.23,12.36,0,X,0,00 00 41.93,+24 34 24.8,00 00 41.93,+24 34 24.8,-4778478006178371122,5139117079198819703
00007+1745,SLW9016,0,2008,2015,31,31,1.7,1.6,18.0,19.3,0,U,0,00 00 35.63,+17 44 43.6,00 00 35.63,+17 44 43.6,-2880279286074611319,6001020532547805202
00007+0013,RST5178,0,1943,2016,332,332,2.7,2.5,8.1,13.5,-00 4603,Y,0,00 00 39.08,+00 13 22.6,00 00 39.08,+00 13 22.6,1794471475941692957,2746123587208581135
00007-0601,TDS1245,0,1991,1991,356,356,0.5,0.5,10.82,11.15,-06 6340,X,0,00 00 42.22,-06 00 53.9,00 00 42.22,-06 00 53.9,-1298362057304105241,-73305539878771760
00007-1216,SKF 137,0,1998,2016,353,355,2.5,2.7,15.0,17.0,0,0,0,00 00 39.47,-12 15 52.9,00 00 39.47,-12 15 52.9,-2328679715599263445,-884020303674886036
00007-1410,KPP  46,0,1998,2016,74,75,3.4,3.4,14.1,14.1,0,V,0,00 00 42.53,-14 10 11.8,00 00 42.53,-14 10 11.8,-2455702339313535109,-8784569139825859989
00007-1640,LDS5153,0,1960,2016,280,293,4.0,3.7,15.57,15.7,0,VW,0,00 00 48.34,-16 39 50.8,00 00 48.34,-16 39 50.8,5153361285211677887,6903983767106954636
