WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,frame_hash
00001+0638,SLW9012,,2005,2005,29,29,4.2,4.2,17.3,23.7,,,,00 00 03.39,+06 37 01.5,00 00 03.39,+06 37 01.5,-1815976239280881149
00001+0022,SKF1060,,2001,2015,187,184,2.1,2.2,20.1,21.9,,,,00 00 03.15,+00 21 33.3,00 00 03.15,+00 21 33.3,-5492431168653995301
00001-0122,CLZ   1,,1994,2016,347,347,6.2,6.2,12.3,16.4,,,,00 00 03.82,-01 22 24.4,00 00 03.82,-01 22 24.4,4839574460767631539
00001-2432,UC  301,,1954,2015,283,283,46.9,47.0,10.49,12.99,,V,,00 00 05.16,-24 31 45.0,00 00 05.16,-24 31 45.0,-2612035059011830144
00001-5700,KPP4401,,2015,2016,145,145,2.5,2.5,14.2,16.8,,T,,00 00 04.94,-56 59 39.5,00 00 04.94,-56 59 39.5,-2627671482962971437
00002+4119,TDS1235,AB,1991,2016,105,68,0.5,1.7,10.27,10.67,+40 5210,Y,,00 00 10.69,+41 19 28.9,00 00 10.69,+41 19 28.9,-2050608298935031455
00002+4119,FYM 352,AC,1999,2015,260,261,16.6,16.5,10.3,13.2,,,,00 00 10.69,+41 19 28.9,00 00 10.69,+41 19 28.9,-3143049257901394258
00002+3613,TDS1236,,1991,2015,345,334,0.8,0.5,11.79,11.88,,,,00 00 11.45,+36 13 26.5,00 00 11.45,+36 13 26.5,4356681369998995591
00002+2855,TVB  17,,1906,2016,320,322,11.7,11.9,12.51,12.42,,,,00 00 10.03,+28 54 32.6,00 00 10.03,+28 54 32.6,1056791650436331977
00002+0146,WEI  45,,1879,2018,89,82,1.8,1.8,10.09,10.52,+00 5079,N,,00 00 12.14,+01 46 17.2,00 00 12.14,+01 46 17.2,2001724495181719438
00002+0014,SKF1061,,2001,2016,174,173,1.4,1.4,17.3,18.0,,,,00 00 13.00,+00 14 04.9,00 00 13.00,+00 14 04.9,-7218512236331841950
00002-0021,ITF  44,,1951,2015,16,31,3.9,3.9,13.0,15.8,,V,,00 00 10.39,-00 20 37.6,00 00 10.39,-00 20 37.6,4246544282936242226
00002-0309,SLN  48,,2006,2015,265,265,6.1,6.1,20.0,20.2,,V,,00 00 11.63,-03 08 31.9,00 00 11.63,-03 08 31.9,5557678992866821717
00002-2519,COO 273,,1910,2023,10,11,9.0,8.4,10.13,10.2,-2616866,S,,00 00 09.71,-25 19 29.3,00 00 09.71,-25 19 29.3,-8000113464686844524
00002-3623,LDS5152,,1960,2015,7,7,85.0,84.2,18.5,18.5,,,,00 00 20.00,-36 23 48.3,00 00 20.00,-36 23 48.3,7292896986060492526
00003+6557,MLR 280,,1971,2016,8,9,1.1,1.5,8.57,10.9,+65 1979,,,00 00 18.77,+65 56 40.9,00 00 18.77,+65 56 40.9,5791789566399360777
00003+6024,TDS1237,,1991,1991,217,217,1.8,1.8,11.98,12.17,,X,,00 00 17.81,+60 23 58.3,00 00 17.81,+60 23 58.3,8337687531494480871
00003+5651,CTT   1,,1906,2015,90,93,49.4,46.1,8.59,11.39,+56 3129,U,,00 00 20.41,+56 51 11.4,00 00 20.41,+56 51 11.4,-4740981962730308303
00003+1642,HJ  318,,1954,2016,63,61,28.6,25.9,9.56,12.88,+15 4919,NS,,00 00 13.77,+16 40 56.6,00 00 13.77,+16 40 56.6,6952253886295929253
00003+0800,UC  302,,1955,2015,130,130,51.4,51.4,7.68,14.41,+07 5113,V,,00 00 15.93,+08 00 26.0,00 00 15.93,+08 00 26.0,8819732545229161489
00003-0257,DVG   8,,1893,2024,351,356,7.0,7.6,9.7,11.2,,T,,00 00 16.73,-02 56 52.1,00 00 16.73,-02 56 52.1,1427288361973125729
00003-0654,LDS6079,,1954,2015,1,1,155.7,159.3,17.9,18.2,,U,,00 00 24.21,-06 54 36.3,00 00 24.21,-06 54 36.3,-5539131177187108747
00003-0941,RST4137,,1937,2016,41,43,0.7,1.0,10.9,11.5,-10 6210,,,00 00 16.31,-09 41 28.1,00 00 16.31,-09 41 28.1,-6680740101225429462
00003-4118,SKF1140,,1964,2016,290,290,17.4,17.3,9.3,18.0,-4115375,V,,00 00 20.62,-41 17 52.1,00 00 20.62,-41 17 52.1,-101991860995688891
00003-4417,I  1477,,1926,2022,261,183,0.5,0.2,6.8,7.56,-4415420,O,,00 00 19.10,-44 17 26.0,00 00 19.10,-44 17 26.0,4582412123894040392
00004+7305,HJ 3231,AB,1831,2015,278,282,8.0,23.4,11.11,14.0,+72 1133,,,00 00 22.42,+73 04 56.1,00 00 22.42,+73 04 56.1,-5906697879243104606
00004+7305,HJ 3231,AC,1831,2018,301,296,25.0,44.9,11.11,11.86,,,,00 00 22.42,+73 04 56.1,00 00 22.42,+73 04 56.1,6158696625567142296
00004+7139,KPP  45,,1999,2016,110,110,4.9,4.9,13.6,14.3,,V,,00 00 24.84,+71 38 45.3,00 00 24.84,+71 38 45.3,3648549056400834665
00004+6026,STI1248,,1898,2019,43,48,12.9,12.4,10.37,10.78,+59 2807,W,,00 00 24.78,+60 25 31.2,00 00 24.78,+60 25 31.2,-7562629364816812077
00004+5044,HJ 1923,,1828,2015,276,279,6.0,11.5,11.65,12.14,,,,00 00 23.63,+50 44 20.3,00 00 23.63,+50 44 20.3,2829247241159484469
00004+3549,CRB  23,,1954,2016,155,155,37.4,37.2,12.9,15.6,,V,,00 00 23.33,+35 48 40.8,00 00 23.33,+35 48 40.8,-8422163669645353104
00004+2749,TDS1238,,1991,2016,84,88,1.0,0.8,11.7,11.71,+27 4659,,,00 00 23.43,+27 48 40.8,00 00 23.43,+27 48 40.8,-1340337728434005936
00004+2430,SKF1062,,2004,2016,128,126,1.5,1.4,14.9,15.8,,,,00 00 26.45,+24 29 31.2,00 00 26.45,+24 29 31.2,8226699561161037897
00004+0830,BU  732,AB,1878,2017,152,153,6.1,6.0,10.05,12.2,+07 5114,,,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9,-6975129544866074795
00004+0830,BU  732,AC,1897,2016,143,142,152.2,153.1,10.05,8.47,+07 5115,S,,00 00 25.49,+08 30 07.9,00 00 25.49,+08 30 07.9,-4751111078610211013
00004-0902,LDS6080,,1954,2016,262,261,15.7,16.0,16.9,17.8,,,,00 00 25.63,-09 02 40.4,00 00 25.63,-09 02 40.4,2087788414503831260
00004-1052,SKF 496,,1954,2016,16,16,16.0,16.1,18.9,20.1,,V,,00 00 22.54,-10 51 42.2,00 00 22.54,-10 51 42.2,-6531085537140527939
00004-4711,HDS   1,,1991,2021,332,333,0.2,0.2,10.97,11.75,-4714771,,,00 00 25.28,-47 10 46.5,00 00 25.28,-47 10 46.5,6707735538314793632
00005+7822,HEI 901,,1978,1995,145,146,0.2,0.2,11.7,11.8,+77  932,,,00 00 31.54,+78 20 51.3,00 00 31.54,+78 20 51.3,6903374975836904508
00005+6713,HJ 1924,,1828,2016,225,225,6.0,8.0,10.83,11.05,+66 1669,,,00 00 29.27,+67 13 00.4,00 00 29.27,+67 13 00.4,408019795050038981
00005+5902,STI3079,AB,1910,2015,123,124,14.4,14.3,13.9,13.9,,,,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6,870370846639159918
00005+5902,MRI  51,AC,1999,2015,333,332,5.5,5.5,12.3,14.3,,,,00 00 32.59,+59 02 39.6,00 00 32.59,+59 02 39.6,-2355574353460974990
00005+5700,STI3077,,1917,2015,116,116,6.7,6.0,13.5,13.4,,,,00 00 31.05,+57 00 51.6,00 00 31.05,+57 00 51.6,5326204220156940026
00005+5609,STI3078,,1906,2015,189,194,12.1,13.7,12.5,12.7,,,,00 00 32.82,+56 09 34.8,00 00 32.82,+56 09 34.8,4531193185161796509
00005+5515,KPP4402,,2015,2016,18,18,2.0,2.0,11.9,12.4,,T,,00 00 27.75,+55 15 29.7,00 00 27.75,+55 15 29.7,-2106970681709991708
00005+5457,STI3076,,1907,2015,270,277,6.0,8.4,11.5,13.0,,,,00 00 30.27,+54 57 21.7,00 00 30.27,+54 57 21.7,5420706881762344594
00005+4941,KPP1057,,1995,2016,31,32,8.2,8.4,12.1,14.4,,V,,00 00 30.80,+49 40 57.4,00 00 30.80,+49 40 57.4,135218119663081058
00005+4917,HU  700,,1902,2016,341,339,4.7,4.7,9.6,14.5,+48 4210,,,00 00 28.58,+49 17 17.5,00 00 28.58,+49 17 17.5,4067156425758601538
00005+4556,TDS1239,,1991,1991,126,126,0.6,0.6,11.93,12.12,,X,,00 00 32.61,+45 56 23.4,00 00 32.61,+45 56 23.4,5644235097869483746
00005+3114,COU 645,,1970,2015,150,150,4.7,4.9,8.12,13.9,+30 5071,,,00 00 27.31,+31 13 33.4,00 00 27.31,+31 13 33.4,6128869923697268486
00005+2820,SLW9015,,2003,2016,119,120,1.9,1.9,16.8,16.8,,,,00 00 31.52,+28 19 43.5,00 00 31.52,+28 19 43.5,3031576281370949570
00005+2031,COU 444,AB,1968,2016,39,40,3.9,4.3,10.1,13.4,+19 5186,,,00 00 31.46,+20 30 30.6,00 00 31.46,+20 30 30.6,-5820630874854939396
00005-0124,ITF 164,,1951,2017,209,210,3.3,3.3,14.8,18.6,,V,,00 00 32.59,-01 23 56.1,00 00 32.59,-01 23 56.1,-1409983044247213016
00005-0342,LDS6081,,1954,2015,134,135,61.9,61.0,16.0,17.9,,U,,00 00 30.89,-03 42 08.1,00 00 30.89,-03 42 08.1,-2700796402559593717
00005-0916,GWP   1,,1954,2016,63,63,7.7,7.4,15.5,17.0,,V,,00 00 27.31,-09 15 58.7,00 00 27.31,-09 15 58.7,-7981887879222043270
00005-7212,B  1902,,1931,2016,244,242,2.8,2.8,9.82,11.95,-72 2794,,,00 00 32.16,-72 12 09.8,00 00 32.16,-72 12 09.8,-2909451492998721204
00006+5552,MRI  52,,1999,2016,216,215,3.9,4.0,15.1,15.6,,V,,00 00 34.06,+55 52 13.6,00 00 34.06,+55 52 13.6,-8559601854394658230
00006+4539,UC  303,,1951,2015,311,311,52.2,52.2,13.13,15.85,,V,,00 00 33.92,+45 39 27.7,00 00 33.92,+45 39 27.7,9209850650705960727
00006+2101,AZC   1,,1954,2016,342,342,14.1,14.3,13.3,18.7,,V,,00 00 37.04,+21 00 46.5,00 00 37.04,+21 00 46.5,-5273526047647090508
00006-2916,TDS1240,,1991,1991,288,288,0.6,0.6,11.54,12.12,,X,,00 00 35.40,-29 15 48.4,00 00 35.40,-29 15 48.4,-3540310236399612360
00006-5238,FIN 294,,1930,2016,27,29,0.6,0.8,9.48,10.43,-5310566,N,,00 00 34.89,-52 38 13.3,00 00 34.89,-52 38 13.3,-4500410105486589742
00006-5306,HJ 5437,,1836,2019,296,340,2.5,1.4,6.55,9.85,-5310565,O,,00 00 34.35,-53 05 51.8,00 00 34.35,-53 05 51.8,-2760162366138400856
00006-6641,GLI 289,,1851,2021,270,274,2.3,3.0,7.69,9.17,-67 3997,,,00 00 38.13,-66 40 59.5,00 00 38.13,-66 40 59.5,-3652176704800124490
00007+6103,STI1249,AB,1913,2015,263,258,11.4,21.5,10.08,12.33,+60 2653,,,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1,-9216321066058082969
00007+6103,NVL   8,AC,1954,2016,220,221,20.5,20.6,10.1,14.3,,,,00 00 42.77,+61 03 26.1,00 00 42.77,+61 03 26.1,2257844451248490849
00007+5614,TDS1241,,1991,1991,236,236,0.6,0.6,11.31,11.62,,X,,00 00 39.42,+56 14 26.7,00 00 39.42,+56 14 26.7,4346350388083611331
00007+5600,TDS1242,,1991,1991,359,359,0.5,0.5,11.29,11.41,+55 3067,X,,00 00 39.39,+56 00 13.2,00 00 39.39,+56 00 13.2,4191300837151574492
00007+5417,TDS1243,,1991,1991,109,109,0.5,0.5,11.04,11.05,,X,,00 00 42.34,+54 16 59.2,00 00 42.34,+54 16 59.2,8379537106459046635
00007+2434,TDS1244,,1991,1991,236,236,2.3,2.3,12.23,12.36,,X,,00 00 41.93,+24 34 24.8,00 00 41.93,+24 34 24.8,5139117079198819703
00007+1745,SLW9016,,2008,2015,31,31,1.7,1.6,18.0,19.3,,U,,00 00 35.63,+17 44 43.6,00 00 35.63,+17 44 43.6,6001020532547805202
00007+0013,RST5178,,1943,2016,332,332,2.7,2.5,8.1,13.5,-00 4603,Y,,00 00 39.08,+00 13 22.6,00 00 39.08,+00 13 22.6,2746123587208581135
00007-0601,TDS1245,,1991,1991,356,356,0.5,0.5,10.82,11.15,-06 6340,X,,00 00 42.22,-06 00 53.9,00 00 42.22,-06 00 53.9,-73305539878771760
00007-1216,SKF 137,,1998,2016,353,355,2.5,2.7,15.0,17.0,,,,00 00 39.47,-12 15 52.9,00 00 39.47,-12 15 52.9,-884020303674886036
00007-1410,KPP  46,,1998,2016,74,75,3.4,3.4,14.1,14.1,,V,,00 00 42.53,-14 10 11.8,00 00 42.53,-14 10 11.8,-8784569139825859989
00007-1640,LDS5153,,1960,2016,280,293,4.0,3.7,15.57,15.7,,VW,,00 00 48.34,-16 39 50.8,00 00 48.34,-16 39 50.8,6903983767106954636
00007-3044,LDS2069,,1954,2015,324,352,7.0,6.3,15.7,18.0,,V,,00 00 42.56,-30 43 25.1,00 00 42.56,-30 43 25.1,-1850000969972082740
00007-5450,KPP2838,AB,2015,2016,322,322,3.8,3.8,11.23,16.12,,T,,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9,-8154921295563289783
00007-5450,TOI 129,AC,1999,2015,162,162,73.6,73.6,10.6,18.6,,,,00 00 44.91,-54 49 49.9,00 00 44.91,-54 49 49.9,393859196246339463
00008+5016,TDS1246,,1991,2015,209,200,0.6,0.5,11.28,11.62,,,,00 00 49.01,+50 16 26.2,00 00 49.01,+50 16 26.2,7370125203106873675
00008+3647,ES  221,,1904,2021,234,234,14.8,15.5,8.35,10.31,+35 5153,T,,00 00 49.69,+36 46 48.4,00 00 49.69,+36 46 48.4,8678424516587967612
00008+1659,BAG  18,,2001,2022,37,325,0.5,0.7,8.79,12.6,+16 5027,O,,00 00 48.09,+16 59 17.5,00 00 48.09,+16 59 17.5,8682059550867141280
00008+1259,CVR 301,,1949,2016,194,194,28.3,28.2,17.1,17.2,,V,,00 00 46.64,+12 59 24.8,00 00 46.64,+12 59 24.8,-4193933455962052402
00008+0630,GWP   2,,1955,2016,290,290,8.8,10.1,13.1,15.7,,N  R,,00 00 45.04,+06 29 43.8,00 00 45.04,+06 29 43.8,7301858746920354769
00008-3244,I  1478,,1925,2008,323,329,0.4,0.4,9.79,9.81,-3316804,,,00 00 50.04,-32 44 09.6,00 00 50.04,-32 44 09.6,-2762022618386282495
00009+6023,MRI   4,,1954,2015,0,359,21.3,21.4,12.09,12.44,,,,00 00 51.56,+60 23 06.6,00 00 51.56,+60 23 06.6,-1933782520714237614
00009+5915,STI3081,,1906,2015,80,87,6.1,4.6,11.2,12.5,,,,00 00 51.32,+59 15 18.8,00 00 51.32,+59 15 18.8,-5971842265261258034
00009-0118,ITF  70,,1951,2016,317,321,2.7,2.3,12.8,13.4,,V,,00 00 51.03,-01 17 59.9,00 00 51.03,-01 17 59.9,-7047799036971501633
00009-0908,GRV1157,,1954,2016,276,276,19.4,19.2,19.0,20.4,,,,00 00 54.38,-09 08 07.6,00 00 54.38,-09 08 07.6,-851746025701616271
00009-1739,RST3339,,1935,2016,66,66,1.2,1.2,10.6,10.8,-18 6411,,,00 00 52.49,-17 38 52.4,00 00 52.49,-17 38 52.4,-7987778754350127182
00009-2025,DON1056,,1929,2016,29,34,0.7,0.9,10.0,13.0,-21 6515,,,00 00 55.33,-20 25 26.4,00 00 55.33,-20 25 26.4,-2698655913932467968
00010+2721,DAM 361,AB,1951,2015,349,354,11.4,8.8,12.0,13.6,,U,,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9,6545471700490007670
00010+2721,GII 111,AC,2013,2013,219,219,33.1,33.1,12.0,13.6,,U,,00 01 00.28,+27 20 31.9,00 01 00.28,+27 20 31.9,-1935823091089370992
00010-4234,I  1088,AB,1914,2016,355,354,1.5,1.7,10.06,10.48,-4315563,,,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5,-3422029041643063334
00010-4234,I  1088,AC,1926,2015,160,141,8.0,17.6,9.8,13.5,,,,00 01 01.57,-42 34 16.5,00 01 01.57,-42 34 16.5,-6937813810056534854
00010-4920,RST1178,,1930,2016,294,295,1.6,2.0,10.03,12.9,-5014100,,,00 01 02.39,-49 19 10.0,00 01 02.39,-49 19 10.0,766346865619591132
00010-5445,RST1177,,1921,2016,269,257,2.7,3.1,11.0,11.9,-5510136,V,,00 00 57.42,-54 45 20.1,00 00 57.42,-54 45 20.1,-788265821892303345
00011+6935,STTA253,AB,1875,2023,353,353,100.5,101.8,7.57,8.03,+68 1418,N,,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0,-71569050104092349
00011+6935,STTA253,AC,1894,2015,191,191,187.2,188.2,7.56,8.87,,N,,00 01 04.51,+69 34 32.0,00 01 04.51,+69 34 32.0,-7612369154658172394
00011+6336,MLB 240,,1903,2016,51,42,5.1,5.8,9.95,11.4,+62 2344,,,00 01 07.58,+63 36 10.6,00 01 07.58,+63 36 10.6,-5396709262935432457
00011+5622,TDS1247,,1991,1991,114,114,0.6,0.6,11.6,11.98,,X,,00 01 03.94,+56 22 13.5,00 01 03.94,+56 22 13.5,-940855960790460674
00011+2502,POU5882,,1898,2016,51,43,9.6,8.0,13.51,13.53,,,,00 01 09.20,+25 02 03.4,00 01 09.20,+25 02 03.4,-1328077610228632626
00011+1952,CBL 556,,1998,2016,158,158,8.4,8.5,16.0,18.0,,V,,00 01 06.67,+19 52 24.8,00 01 06.67,+19 52 24.8,-8010230519780825718
00011+1505,SKF 497,,2001,2015,236,259,1.4,1.6,17.7,18.7,,,,00 01 06.41,+15 05 16.7,00 01 06.41,+15 05 16.7,4941440132343851144
00011-2326,LDS2070,,1909,2016,255,263,68.0,66.2,9.5,9.71,-2417946,N,,00 01 04.17,-23 26 25.2,00 01 04.17,-23 26 25.2,7695309416236713276
00012+6221,STI1252,,1913,2016,288,288,6.6,7.4,9.8,12.1,,,,00 01 10.20,+62 21 53.2,00 01 10.20,+62 21 53.2,5402064394761904337
00012+3716,DAM 274,,1999,2016,285,285,4.5,4.5,12.6,14.6,,,,00 01 09.82,+37 16 22.0,00 01 09.82,+37 16 22.0,2188880893177675467
00012+1357,LSC   2,"Aa,Ab",2014,2019,185,170,0.2,0.2,10.7,13.1,+13 5195,,,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3,-2356526628453808181
00012+1357,WNO  12,AB,1906,2021,204,204,12.7,11.5,10.66,11.12,+13 5195,V,,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3,-9033411095584617418
00012-0005,TOK 359,,2012,2012,72,72,0.3,0.3,8.14,12.0,-00 4605,N,,00 01 10.16,-00 04 33.9,00 01 10.16,-00 04 33.9,-3212613805223283701
00012-0312,LDS9082,,1958,2015,69,69,2.7,2.5,15.2,15.4,,N,,00 01 13.46,-03 11 52.5,00 01 13.46,-03 11 52.5,-9202868778988268728
00012-1551,GWP   3,,1951,2015,248,248,82.8,82.0,13.75,15.2,,V R,,00 01 09.41,-15 50 49.0,00 01 09.41,-15 50 49.0,-129147749847570623
00012-2618,LDS2071,,1954,2016,67,63,10.0,10.2,13.2,20.8,,,,00 01 08.04,-26 16 03.3,00 01 08.04,-26 16 03.3,-8357017354812695928
00012-3036,KPP  47,,1998,2016,47,48,3.3,3.4,13.8,13.9,,V,,00 01 10.21,-30 36 26.0,00 01 10.21,-30 36 26.0,-3719404174163086894
00013+6021,STTA254,AB,1874,2019,90,89,58.9,57.8,7.4,8.33,+59 2810,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,7554815558000900360
00013+6021,STTA254,AC,1879,2015,324,324,155.7,155.4,7.4,9.56,+59 2809,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,5504149532043093644
00013+6021,STTA254,AD,1982,2016,118,118,182.0,181.4,7.4,10.35,,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,2913022190281401824
00013+6021,STTA254,BD,1879,2015,129,130,134.4,133.7,8.33,10.35,+59 2812,N,,00 01 23.63,+60 21 19.6,00 01 23.63,+60 21 19.6,-6551542627670283494
00013+5604,HJ 1925,,1828,2015,334,342,12.0,19.1,10.36,11.84,+55 3069,,,00 01 29.54,+56 03 21.4,00 01 29.54,+56 03 21.4,-4907685035695719308
00013+3351,TDS1248,,1991,2009,59,51,0.5,0.7,10.79,10.89,+33 4817,X,,00 01 15.73,+33 51 13.6,00 01 15.73,+33 51 13.6,-5303743076487180090
00013+2925,LDS5155,,1954,2020,269,268,258.1,256.7,14.18,17.0,,,,00 01 22.69,+29 25 58.2,00 01 22.69,+29 25 58.2,-1339226237427014155
00013+2427,DAM 824,,2000,2016,286,286,2.6,2.6,13.2,14.3,,,,00 01 18.47,+24 26 36.7,00 01 18.47,+24 26 36.7,-2298611136479923826
00013+0742,DU    4,AB,1869,2021,265,264,15.3,15.2,9.48,10.64,+06 5233,NT,,00 01 20.06,+07 42 05.9,00 01 20.06,+07 42 05.9,1853958192027542295
00013+0742,BU 9023,AC,1891,2015,350,352,160.4,168.0,9.48,13.14,,NS,,00 01 20.06,+07 42 05.9,00 01 20.06,+07 42 05.9,5580807130686750644
00013+0742,BU 9023,CD,1891,2015,56,52,9.8,9.8,13.3,13.9,,N,,00 01 18.43,+07 44 51.1,00 01 18.43,+07 44 51.1,5679029101054381767
00013+0504,UC  304,,1955,2015,54,54,15.2,15.3,12.1,13.5,,V R,,00 01 18.85,+05 04 12.7,00 01 18.85,+05 04 12.7,-5063861876964049478
00013+0351,LDS5154,,1955,2015,93,94,163.3,163.7,15.84,17.3,,,,00 01 19.40,+03 51 28.0,00 01 19.40,+03 51 28.0,5127534145678445189
00013-0658,SLW9017,,2009,2015,105,103,2.2,2.2,18.0,18.3,,U,,00 01 17.42,-06 58 06.6,00 01 17.42,-06 58 06.6,1252244461325724290
00013-7012,GLI 290,AB,1851,2015,123,118,31.0,28.2,10.35,10.71,-70 3037,N,,00 01 17.42,-70 11 11.5,00 01 17.42,-70 11 11.5,-6830256802794813878
00013-7012,BAU   1,AC,1919,2015,357,353,31.0,32.6,10.35,13.5,,NUW,,00 01 17.42,-70 11 11.5,00 01 17.42,-70 11 11.5,8283597012621215337
00014+6347,TDS1249,,2016,2016,356,356,3.4,3.4,10.3,15.9,+62 2347,,,00 01 23.28,+63 47 06.1,00 01 23.28,+63 47 06.1,1524479774653010989
00014+5704,TDS   1,,1991,2015,312,319,0.8,0.9,10.89,11.14,+56 3132,,,00 01 25.29,+57 03 54.3,00 01 25.29,+57 03 54.3,7519809487188921505
00014+4828,GII 112,"Aa,Ab",2014,2014,112,112,0.1,0.1,11.4,11.4,,,,00 01 21.18,+48 28 23.7,00 01 21.18,+48 28 23.7,-5838529150790641695
00014+4828,COU1850,AB,1979,2017,24,4,0.6,0.7,10.62,10.7,+47 4359,,,00 01 21.18,+48 28 23.7,00 01 21.18,+48 28 23.7,3813949005336038350
00014+4758,TDS1250,,1991,2019,290,289,1.0,1.1,11.72,12.67,,,,00 01 22.89,+47 57 54.9,00 01 22.89,+47 57 54.9,-8056846934661105107
00014+3937,HLD  60,,1881,2023,124,164,0.6,1.3,9.09,9.77,+38 5112,NO,,00 01 23.67,+39 36 38.2,00 01 23.67,+39 36 38.2,8464799888098446513
00014+2719,LDS5156,,1950,2020,301,301,10.2,10.2,16.8,17.3,,,,00 01 27.47,+27 19 54.9,00 01 27.47,+27 19 54.9,8106192570662529878
00014-0920,TDS1251,,1991,1991,106,106,0.8,0.8,12.12,12.12,,X,,00 01 25.33,-09 20 08.2,00 01 25.33,-09 20 08.2,6480204749128568289
00014-2602,UC  305,,1954,2015,190,198,39.1,39.6,14.9,16.4,,V U,,00 01 25.52,-26 02 13.7,00 01 25.52,-26 02 13.7,-6857518359080058254
00015+4617,ES 1292,,1913,2016,87,88,3.1,3.4,12.14,12.04,,,,00 01 44.82,+46 17 09.8,00 01 44.82,+46 17 09.8,3684907708984530419
00015+3044,HO  208,,1884,2017,236,185,0.7,1.1,8.2,9.81,+29 5046,O,,00 01 29.19,+30 44 08.7,00 01 29.19,+30 44 08.7,5723221764017247725
00015-6203,B   628,,1927,2016,207,207,2.8,3.0,10.01,14.0,-62 6464,,,00 01 29.24,-62 02 44.8,00 01 29.24,-62 02 44.8,-72270840252580153
00016+6437,MLR  79,AB,1953,2023,290,243,1.7,2.3,10.2,13.7,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1,-1704002169552197813
00016+6437,SS    1,AC,1953,2015,265,266,9.6,7.4,10.2,15.4,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1,5575757149291813473
00016+6437,SS    1,AD,1953,2015,223,224,13.8,12.9,10.2,13.8,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1,4134755827545111460
00016+6437,SS    1,AE,1953,2015,135,133,17.6,17.9,10.2,14.3,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1,-2438806867843831643
00016+6107,STI1253,,1913,2015,145,150,7.7,6.8,11.9,13.7,,,,00 01 33.41,+61 07 02.1,00 01 33.41,+61 07 02.1,6096140048595597330
00016+3714,ES 2444,,1930,2018,256,249,6.8,9.5,12.29,12.34,,N,,00 01 37.71,+37 14 43.7,00 01 37.71,+37 14 43.7,-6132487817395059276
00016+1658,J   215,,1910,2016,36,37,1.9,3.1,10.54,13.4,+16 5029,,,00 01 39.01,+16 58 39.6,00 01 39.01,+16 58 39.6,3128955382503836336
