PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
298892,00 00 06.4,-67 07 41,G,,0.48,0.15,27.0,
2437724,00 00 06.5,+53 19 14,G,,0.8,0.13,10.0,
722186,00 00 06.5,-30 02 19,G,,0.46,0.17,167.0,
1088566,00 00 06.6,-02 33 44,G,,0.34,0.07,2.0,
2050404,00 00 06.6,+34 30 54,G,,0.62,0.06,161.0,NPM1G+34.0479
828790,00 00 06.6,-21 24 00,G,,0.61,0.16,174.0,
516670,00 00 06.6,-46 17 54,G,,0.43,0.14,106.0,
1959230,00 00 06.6,+31 41 11,G,,0.41,0.16,179.0,
143109,00 00 06.7,-07 52 30,G,,0.65,0.07,137.0,
1968980,00 00 06.7,+31 52 35,G,,0.36,0.06,45.0,
646504,00 00 06.7,-35 37 46,G,,0.46,0.16,48.0,
1085315,00 00 06.7,-02 41 07,G,,0.41,0.02,,
643813,00 00 06.8,-35 51 12,G,,0.37,0.01,,
781029,00 00 06.8,-25 15 01,G,,0.47,0.18,28.0,
515027,00 00 06.9,-46 26 15,G,,0.37,0.17,140.0,
515100,00 00 07.0,-46 25 50,G,,0.49,0.43,58.0,
14,00 00 07.0,+08 16 45,G,E,1.16,0.23,9.0,UGC12890              MCG1-01-006           NPM1G+08.0585
1814613,00 00 07.0,+27 39 53,G,,0.58,0.14,42.0,
836717,00 00 07.1,-20 48 23,G,,0.47,0.06,79.0,
1561449,00 00 07.1,+18 30 12,G,,0.6,0.12,104.0,NPM1G+18.0615
311006,00 00 07.1,-65 41 44,G,,0.71,0.41,1.0,
751018,00 00 07.1,-27 42 19,G,,0.75,0.61,68.0,
835763,00 00 07.2,-20 52 36,G,,0.37,0.13,83.0,
1002173,00 00 07.2,-08 33 34,G,,0.34,0.09,99.0,
357331,00 00 07.3,-61 11 06,G,,0.65,0.03,,
910891,00 00 07.3,-15 27 56,G,,0.55,0.27,2.0,
1095612,00 00 07.3,-02 18 40,G,,0.57,0.45,73.0,
716243,00 00 07.3,-30 31 18,G,,0.53,0.3,122.0,
1299751,00 00 07.3,+06 23 11,G,,0.6,0.23,106.0,
862935,00 00 07.5,-18 51 09,G,,0.4,0.2,82.0,
500755,00 00 07.5,-47 28 40,G,,0.48,0.12,163.0,
822052,00 00 07.6,-21 54 23,G,,0.53,0.1,30.0,
1982660,00 00 07.6,+32 08 55,G,,0.32,0.0,,
517139,00 00 07.6,-46 15 18,G,,0.5,0.4,142.0,
874998,00 00 07.6,-17 56 43,G,,0.31,0.08,169.0,
2024610,00 00 07.6,+33 08 37,G,,0.69,0.15,160.0,
2009332,00 00 07.6,+32 42 51,G,,0.42,0.13,46.0,
238506,00 00 07.7,-76 52 33,G,,0.66,0.54,158.0,
10,00 00 07.7,-00 02 28,GM,E-SO,0.74,0.09,34.0,MCG0-01-015           CGCG382-15            KPG600B               ARK591                KAZ579                NPM1G-00.0643
2794826,00 00 07.8,-39 38 59,G,,,,,
901600,00 00 07.8,-16 10 04,G,,0.57,0.57,155.0,
734383,00 00 07.8,-29 01 30,G,,0.65,0.7,17.0,
2020938,00 00 07.9,+33 01 22,G,,0.41,0.12,46.0,
336454,00 00 07.9,-63 03 10,G,,0.6,0.61,70.0,
1494405,00 00 07.9,+15 50 00,G,,0.44,0.17,167.0,
3096763,00 00 07.9,-63 35 36,G,,,,,
2424646,00 00 07.9,+52 49 28,G,,0.48,0.21,20.0,
366576,00 00 08.0,-60 02 40,G,,0.58,0.06,53.0,
1982575,00 00 08.1,+32 08 49,G,,0.57,0.1,41.0,
128384,00 00 08.1,-53 50 46,G,Sc,0.88,0.14,101.0,
781542,00 00 08.1,-25 12 18,G,,0.46,0.05,152.0,
448668,00 00 08.3,-52 06 15,G,,0.43,0.11,29.0,
2396426,00 00 08.3,+51 34 52,G,,0.58,0.48,164.0,
840248,00 00 08.3,-20 32 34,G,,0.45,0.31,107.0,
9,00 00 08.3,-77 20 19,GM,,0.62,0.24,121.0,(ESO12-11)            ESO-LV120111
435042,00 00 08.3,-53 02 18,G,,0.53,0.36,124.0,
1847159,00 00 08.4,+28 49 37,G,,0.39,0.02,,
89489,00 00 08.4,-60 33 04,G,,,,,
834290,00 00 08.5,-20 58 50,G,,0.45,0.09,83.0,
489837,00 00 08.5,-48 13 14,G,,0.57,0.28,159.0,
333813,00 00 08.6,-63 17 11,G,,0.44,0.15,52.0,
300744,00 00 08.6,-66 55 34,G,,0.45,0.19,,
12,00 00 08.6,-06 22 26,G,Sa,1.16,0.69,167.0,MCG-1-01-016
1629533,00 00 08.7,+20 31 02,G,,0.53,0.17,53.0,
143111,00 00 08.8,-33 41 36,G,,0.78,0.35,137.0,
644055,00 00 08.8,-35 50 02,G,,0.37,0.06,77.0,
73200,00 00 08.8,+25 21 00,G,Sc,0.65,0.25,51.0,KUG2357+2506          IRAS23575+2504
130029,00 00 08.8,-46 04 50,M,,0.7,0.21,116.0,
519650,00 00 08.9,-46 02 42,G,,0.65,0.61,86.0,
644546,00 00 08.9,-35 47 34,G,,0.47,0.27,110.0,
922133,00 00 09.0,-14 37 43,G,,0.38,0.14,99.0,
890587,00 00 09.0,-16 59 11,G,,0.78,0.13,111.0,
1481182,00 00 09.0,+15 18 36,G,,0.41,0.14,179.0,
11,00 00 09.0,-77 20 29,GM,,0.65,0.27,29.0,(ESO12-11)            ESO-LV120110          IRAS23575-7737
2437788,00 00 09.1,+53 19 20,G,,0.53,0.04,,
386752,00 00 09.1,-57 41 54,G,,0.52,0.17,93.0,
1958694,00 00 09.1,+31 40 33,G,,0.39,0.13,85.0,
1065274,00 00 09.1,-03 54 56,G,,0.41,0.13,35.0,
5,00 00 09.1,+32 44 18,G,SO-a,0.94,0.06,148.0,IC5370                MCG5-01-018           CGCG499-28            CGCG498-56            NPM1G+32.0620
1561228,00 00 09.1,+18 29 44,G,,0.43,0.08,101.0,
1961266,00 00 09.2,+31 43 37,G,,0.49,0.13,144.0,
362914,00 00 09.3,-60 29 36,G,,0.28,0.02,,
2390722,00 00 09.3,+51 14 03,G,,0.43,0.07,50.0,
331419,00 00 09.4,-63 32 56,G,,0.64,0.42,115.0,
1038494,00 00 09.4,-05 57 17,G,,0.39,0.03,,
2817385,00 00 09.4,+30 09 10,G,,,,,IRAS23575+2952
1915168,00 00 09.5,+30 43 12,G,,0.61,0.28,106.0,
2794827,00 00 09.6,-40 03 35,G,,,,,
389191,00 00 09.6,-57 30 12,G,,0.51,0.43,27.0,
731485,00 00 09.8,-29 15 21,G,,0.35,0.08,150.0,
141432,00 00 09.8,-63 35 38,G,,0.68,0.66,134.0,
658336,00 00 09.8,-34 43 45,G,,0.46,0.25,6.0,
731927,00 00 09.8,-29 13 07,G,,0.55,0.15,76.0,
1595669,00 00 09.8,+19 31 38,G,,0.75,0.15,161.0,NPM1G+19.0601
1600746,00 00 09.8,+19 39 32,G,,0.36,0.04,,
199310,00 00 09.9,-36 13 47,G,,0.77,0.48,3.0,DUKST349-52
