main_id,ra,dec,otype,framework_id
[RGM2023] SigMA 26,257.8655,-27.4234,OpC,917154547981634143
[RGM2023] SigMA 28,259.5818,-25.338,OpC,-3035916913485269669
DSH J1054.2-6144,163.55666666666667,-61.73777777777778,OpC,-443138440232906772
IC 1660,18.155708333333337,-71.76161111111111,OpC,-3624596979981105600
UPK 369,83.565,30.475,OpC,1852986868519418670
Cl Alicante    1,59.785,57.24,OpC,7472366398816248827
C 1652-407,253.87498,-40.83333,OpC,7369823319525226404
[RGM2023] SigMA 18,217.0562,-45.9197,OpC,-5485155105599217863
[RGM2023] SigMA 19,212.2475,-51.1972,OpC,-5347766383371790607
[RGM2023] SigMA 17,227.6665,-44.6764,OpC,3874792994608346678
[RZ2005]  24,10.139124999999998,-72.74005555555556,OpC,3475814770495497835
KMHK 1443,87.580125,-70.617125,OpC,3855957791510847828
[RGM2023] SigMA  3,240.43,-22.7406,OpC,6987063521125832968
[RGM2023] SigMA 29,285.211,-36.9364,OpC,3767516471298797054
NAME Cep III,344.5,62.766666666666666,OpC,5254105512626855693
[HXH2021] 14,215.3079345802007,-58.16949904219625,OpC,6594583731429573822
[HXH2021] 46,298.3310863475703,32.63690988946978,OpC,-1637271819676811280
[HXH2021] 50,96.07291323676944,7.500069407053145,OpC,-9133661843302099663
[HXH2021] 52,106.7533563574931,-6.26308365423297,OpC,1371418763117939474
[HXH2021] 53,81.95407554575382,32.682868945236905,OpC,4277975969782051320
[HXH2021] 59,114.94687897637584,-18.922146766705836,OpC,3222666654028412217
[HXH2021] 60,106.82820523315316,4.269848978507063,OpC,-9085422939454977659
[HXH2021] 65,122.3765065437114,-27.158730290755773,OpC,-3590922892712520931
[HXH2021] 67,234.9963551454082,-58.49066672098299,OpC,-3745285908053612160
[HXH2021] 71,120.94352715527565,-39.72931268986288,OpC,8508567771703184121
[HXH2021] 73,62.69183560756492,57.15269646873778,OpC,831361808408273585
[HXH2021] 74,103.86355482643413,-3.787080023435024,OpC,8342293515601211899
Cl Collinder  232,161.16251,-59.56,OpC,8828546198484848045
KMHK 1097,83.63120833333332,-68.69735,OpC,-5261745797665595187
KMHK 1503,88.42954166666667,-69.3438861111111,OpC,-5517066202208462805
[HXH2021] 2,107.65912256391624,-0.4581248026523423,OpC,4548925158930415387
[HR2023] HSC 2303,169.13833333333335,-35.59777777777778,OpC,4131610566461753116
OCSN 92,231.72,-35.96,OpC,-706466828703371860
[HR2023] HSC  749,358.47,3.455555555555556,OpC,6186633442088029442
[HR2023] HSC 2919,246.60166666666663,-24.084722222222226,OpC,-646609469048008393
[HR2023] HSC 2986,285.31708333333324,-36.88305555555556,OpC,-3674311860503000939
[FSR2007] 0115,286.88375,6.2725,OpC,-5269465173915591815
[FSR2007] 0169,298.055,29.399722222222223,OpC,3888354684538188545
[FSR2007] 0171,300.36875,28.647222222222226,OpC,-8356038795056392455
[FSR2007] 0177,299.54208333333327,30.897777777777776,OpC,-1090851544628366933
[FSR2007] 0186,290.215,37.78583333333333,OpC,-5145638763695321497
[FSR2007] 0200,303.04374999999993,35.684999999999995,OpC,-6543146776439354053
[HXH2021] 9,117.09188801339108,-25.351772964469525,OpC,2458859011384121698
[FSR2007] 0374,325.7291666666667,66.12333333333332,OpC,-7488980723711487425
[FSR2007] 0387,341.9241666666667,58.13055555555555,OpC,-3660457274030075473
[FSR2007] 0408,344.13,62.708333333333336,OpC,8593625671578424373
[FSR2007] 0411,347.09041666666667,60.511944444444445,OpC,5115318260605671032
[FSR2007] 0420,348.9954166666667,60.02583333333333,OpC,7519556860336915579
[FSR2007] 0445,354.9316666666666,61.94916666666666,OpC,6512578717282376959
[FSR2007] 0554,25.799166666666668,64.04944444444445,OpC,1043623407452749108
[FSR2007] 0603,38.38375,57.561388888888885,OpC,181031359590463256
[BDS2003]  65,62.79166666666668,51.16666666666666,OpC,38917497599973483
NAME NGC 1579 IR Cluster,67.54583333333332,35.28,OpC,-8612391256244852054
[FSR2007] 0747,73.94958333333335,36.782222222222224,OpC,-2784560409831603995
[FSR2007] 0845,88.05041666666666,27.014444444444443,OpC,-7353456666790637685
[FSR2007] 0882,81.975,16.90888888888889,OpC,-2890553913741533866
[FSR2007] 0903,91.89166666666664,19.11277777777778,OpC,-2316212404360728494
[FSR2007] 1035,100.64583333333331,4.680833333333334,OpC,5946859452836189183
[FSR2007] 1069,101.275,0.2286111111111111,OpC,-4934200511301981056
[BDB2003] G213.34-12.60,91.78375,-6.064722222222222,OpC,7742366509965521228
[KPS2012] MWSC 1085,105.99,-0.085,OpC,3882804538565146087
[FSR2007] 1089,106.03541666666666,1.0386111111111112,OpC,4881708139495394667
[FSR2007] 1186,106.04708333333332,-11.401111111111112,OpC,2171717905670133917
[FSR2007] 1189,108.63291666666666,-10.242777777777777,OpC,-8062436767482627640
[FSR2007] 1318,118.43541666666664,-26.97222222222222,OpC,7150035636448298631
[FSR2007] 1349,120.67666666666668,-32.04194444444444,OpC,-1175812649602436411
[KPS2012] MWSC 2628,263.37458333333336,-29.322777777777773,OpC,-1858328508351376286
[FSR2007] 1515,149.44458333333333,-54.61027777777778,OpC,3305923859110538133
[FSR2007] 1549,160.01916666666665,-59.18861111111111,OpC,-1784314549599910352
[FSR2007] 1551,161.19041666666664,-59.33416666666667,OpC,3460568445270904682
[FSR2007] 1553,161.17374999999998,-59.74166666666667,OpC,3612966617263693860
[FSR2007] 1614,186.12041666666664,-61.85055555555556,OpC,-2356652103259373246
[FSR2007] 1632,193.50458333333333,-67.165,OpC,1665645762569576091
[FSR2007] 1633,193.43375,-60.39944444444444,OpC,2106629105384474878
[FSR2007] 1738,261.19125,-49.89833333333333,OpC,8364037351102245245
[HXH2021] 15,125.6436353642289,-41.37474669800333,OpC,-4829964530131563194
[HXH2021] 24,116.2996804723126,-20.060820548626,OpC,-9141784326700858651
[HXH2021] 25,213.8948813913348,-63.73956038056888,OpC,1672709980173039876
[HXH2021] 28,330.4828206244124,56.0315523143894,OpC,5862106041672311763
[HXH2021] 31,314.98169970061684,45.33900050165032,OpC,3747211726729837734
[HXH2021] 47,239.0393764629404,-55.23627884801199,OpC,-7221440538370870617
[HXH2021] 61,102.71755071877428,-9.968292207597749,OpC,-5355515213776284833
NAME X Pup Cluster,113.35320000000002,-20.4798,OpC,3760576635852252968
[MCM2005b] 52,216.2625,-60.46000000000001,OpC,4401332832544496889
[MCM2005b] 54,221.29166666666663,-59.84,OpC,7011985076695864148
[MCM2005b] 55,221.39166666666665,-59.78,OpC,-1767520660695104820
[MCM2005b] 64,238.90416666666667,-54.64333333333333,OpC,-2968916954736035872
[MCM2005b] 16,286.08333333333337,5.108333333333333,OpC,-2941892765107997591
[FSR2007] 1421,134.523,-42.6,OpC,135719202299709881
[HXH2021] 45,350.3665623587403,58.38118851484834,OpC,6343436656866206435
[HXH2021] 54,106.86913487251871,-7.658645123997911,OpC,-5549142257751182082
[LP2019] 2293,278.5023708333333,-13.13988611111111,OpC,-5509811245556887590
CWNU 1007,79.35530833333334,18.50409722222222,OpC,3729326641739012766
UBC 663,182.773,-63.626,OpC,-5165359626682444385
UPK 198,341.47337500000003,64.07345555555554,OpC,8833578158500349569
OCSN 300,355.94,71.7,OpC,59505721256241629
CWNU 1001,43.19196666666667,56.75257777777777,OpC,8857341078786192147
CWNU 1002,330.44061666666664,62.447513888888885,OpC,5639387291468307841
CWNU 1004,239.69849583333323,-42.031619444444445,OpC,874194140411671947
CWNU 1005,307.79004999999995,38.55283055555555,OpC,-4984732271448556694
CWNU 1006,5.3524375,68.60458055555556,OpC,1469117463163222930
CWNU 1008,170.16,-60.67,OpC,-7741349517535178657
CWNU 1010,69.727325,-8.07446111111111,OpC,866978549754729877
CWNU 1011,308.07315833333337,40.29904444444445,OpC,-6954529216558237596
CWNU 1017,344.2127666666667,41.61009444444445,OpC,-2597807468081333527
CWNU 1018,69.12855,-8.63151388888889,OpC,-5588054345736849653
CWNU 1019,126.13335416666666,-47.794730555555546,OpC,-1373719751611860466
CWNU 1119,356.5300208333333,6.082052777777777,OpC,5061694048199963043
CWNU 1120,306.4628625,38.35446666666667,OpC,-3223338559372992837
