RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,ra,dec,frame_hash
45.81078313715,4.39641763852,3669345180273408,16.9973,8.2531,,,,,,,,,91.62202,1.6036,20.782368,35.311,2.3699,21.468765,76.301,19.035,20.041573,1.427193,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1327045810740614e+17,1.2376786625177196e+18,,,,,,NC27007601,,,,45.81078313715,4.39641763852,1589476256925958810
45.82864140034,4.40236151617,3669379540016256,0.1143,0.1273,0.3447,0.165,0.951,0.512,0.149,0.801,0.151,1.047,1742.5362,2.4607,17.584412,658.31,16.705,18.292461,1527.5,24.046,16.787945,1.504517,,,,,0,0,0,0,0,0,0,0,1,1,0,4348.3,4.605,0.0117,1244.0952,0.0734,,1.132804582858633e+17,1.2376786625177193e+18,,,URAT1-473010724,,,NC27007714,,03031886+0424084,,45.82863911691,4.40235795567,1921311674863289408
45.83069710263,4.40234616719,3669383834748032,0.4684,0.4457,1.7899,0.66,16.184,12.852,0.515,9.836,0.446,1.035,404.14461,2.2833,19.171024,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.1328045830728325e+17,,,,,J030319.35+042409.4,16027.0,NC27007713,,,,45.83063981192,4.40230245131,-3655863302345204904
45.83073031806,4.40269828648,3669379540016128,0.0486,0.0513,1.1445,0.0672,14.933,11.662,0.063,9.327,0.062,0.921,6824.45576,4.5608,16.102198,2769.7,18.407,16.732468,6106.9,42.524,15.283348,1.44912,,,,,0,0,0,0,0,0,0,0,1,1,0,4532.3,4.501,-0.0421,788.1962,0.3406,,1.1328045830664368e+17,1.2376786625177193e+18,,,URAT1-473010727,J030319.35+042409.4,16027.0,NC27007713,,03031935+0424094,,45.83067833243,4.40265683234,8581207667442010086
45.79984652806,4.4017761937,3669413899754368,0.1431,0.1715,0.7013,0.2149,9.592,8.796,0.2,3.826,0.207,1.019,967.55654,2.0341,18.223175,408.75,14.223,18.809912,873.54,17.573,17.394691,1.41522,,,,,0,0,0,0,0,0,0,0,1,1,0,4241.5,5.0105,-1.731,712.1949,0.0046,,1.1328045799796261e+17,1.2376786625177193e+18,,,,J030311.95+042406.2,,NC27007711,,03031193+0424062,,45.79980731842,4.40175918996,2126747094439369052
45.83940303441,4.41268045945,3669482619240448,0.0966,0.1117,0.6646,0.1427,2.395,2.387,0.131,0.205,0.133,0.925,1903.12928,2.6227,17.488697,781.37,19.171,18.1064,1588.5,14.81,16.745394,1.361006,,,,,0,0,0,0,0,0,0,0,1,1,0,4346.4,4.6653,-1.1953,1006.777,0.0132,,1.1329045839342568e+17,1.2376786625177193e+18,,,URAT1-473010729,J030321.45+042445.4,,NC27007885,,03032144+0424455,,45.83939239614,4.41267955,8624372429886989666
45.83050274328,4.41267808394,3669482619240064,0.4117,0.4791,1.4521,0.6059,12.533,12.277,0.55,-2.52,0.554,1.208,340.87603,1.5733,19.355875,88.52,11.558,20.470936,434.13,26.26,18.153852,2.317083,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.132904583044557e+17,1.2376786625177193e+18,,,,,,NC27007879,,03031932+0424456,,45.83044801861,4.41268928503,-4861706864220629240
45.83096897245,4.41474799388,3669482619241856,0.2527,0.2951,2.3503,0.3662,19.738,-11.96,0.348,-15.702,0.359,1.001,489.46307,1.651,18.963066,114.9,12.74,20.187786,642.85,24.245,17.727621,2.460165,,,,,0,0,0,0,0,0,0,0,1,0,0,3309.2,5.0395,-0.4705,351.2049,0.0104,,1.1329045830931819e+17,1.2376786625177193e+18,,,,,,NC27007910,,03031943+0424533,,45.83102228518,4.414817779,7588093456084160051
45.83080980445,4.42286861242,3669555633814528,0.1251,0.1417,2.1049,0.1854,18.203,16.003,0.169,8.673,0.174,1.111,1565.04324,2.4848,17.701052,348.67,11.349,18.982508,1756.3,15.651,16.636389,2.346119,,,,,0,0,0,0,0,0,0,0,1,1,0,3560.2,4.409,-1.1792,406.7344,0.7682,,1.1330045830730789e+17,1.237678623857967e+18,,,URAT1-473010728,,,NC27008033,,03031936+0425221,,45.8307384663,4.42283006432,-5954731022362668116
45.82971758903,4.42537289674,3669551338649984,0.0155,0.0162,2.3704,0.022,18.0,15.772,0.02,8.675,0.02,1.13,214915.66864,66.133,12.356697,115470.0,83.263,12.682396,144270.0,87.204,11.849937,0.832459,38.99,1.78,,11.629478,0,0,0,0,0,0,0,0,1,1,0,6271.2,4.2658,-0.6044,424.0956,0.438,,1.133104582964109e+17,1.237678623857967e+18,,,URAT1-473010725,J030319.12+042531.2,16028.0,NC27000284,,03031910+0425311,,45.82964728262,4.42533434183,-1942791350533929064
