ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,cntr,hemis,xdate,scan,glon,glat,x,y,z,x_scan,jdate,j_psfchi,h_psfchi,k_psfchi,j_m_stdap,j_msig_stdap,h_m_stdap,h_msig_stdap,k_m_stdap,k_msig_stdap,dist_edge_ns,dist_edge_ew,dist_edge_flg,dup_src,use_src,a,dist_opt,phi_opt,b_m_opt,vr_m_opt,nopt_mchs,ext_key,scan_key,coadd_key,coadd,htm20,framework_id,frame_hash
10.669212,41.250271,0.11,0.09,88,00424061+4115009,15.005,0.1296,0.1302,32.39,13.988,0.1301,0.1304,37.91,13.245,0.1182,0.1185,45.54,BEE,222,111,000,50505,8.3,295,1287660317,2,0,1287660341,n,1997-10-24,8,121.161067,-21.591227,0.738839254216,0.139193976731,0.659349371176,131.29,2450745.8589,2.49,2.64,6.05,14.578,0.101,13.675,0.05,13.167,0.054,2745.8,119.6,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679614148096,-4851400763849597248,-7290311869675081726
10.672765,41.247768,0.31,0.28,72,00424146+4114519,13.607,0.0,0.0,0.0,14.981,0.2319,0.2321,15.19,15.556,0.4225,0.4226,5.42,UDD,622,22,0cc,504,4.4,305,1287660366,2,0,1287660378,n,1997-10-24,8,121.163839,-21.593826,0.738858926241,0.139245127396,0.659316526117,121.68,2450745.8589,0.0,0.93,1.3,0.0,0.0,14.552,0.108,14.272,0.157,2754.7,129.2,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679614541312,-3537153193643482985,-3978943004613433906
10.671416,41.248474,0.14,0.13,101,00424113+4114545,13.496,0.0,0.0,0.0,14.463,0.1514,0.1516,24.47,14.209,0.1536,0.1538,18.74,UBB,622,22,0cc,503,4.4,125,1287660378,2,0,1287660366,n,1997-10-24,8,121.162777,-21.593083,0.738854220825,0.139226226895,0.659325790572,125.33,2450745.8589,0.0,1.18,1.07,0.0,0.0,14.065,0.074,13.623,0.124,2752.2,125.5,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679614735872,-7777540358454162167,-7354249800173763627
10.670712,41.24596,0.45,0.4,7,00424097+4114454,14.208,0.0,0.0,0.0,15.588,0.3032,0.3033,8.68,13.183,0.0,0.0,0.0,UDU,20,10,000,500,6.8,274,1287660399,2,0,1287660400,n,1997-10-24,8,121.162109,-21.595576,0.738884360102,0.139222505094,0.659292800257,127.24,2450745.8589,0.0,1.11,0.0,0.0,0.0,19.598,8.888,0.0,0.0,2761.3,123.6,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679615432192,875933890519207377,-8080920224047785501
10.668207,41.246105,0.5,0.5,90,00424036+4114459,17.056,0.5857,0.5858,4.9,15.484,0.257,0.2571,9.56,15.01,0.2692,0.2693,8.96,DDD,222,111,000,50505,6.8,94,1287660400,2,0,1287660399,n,1997-10-24,8,121.160091,-21.595362,0.738888806619,0.139189891696,0.659294703075,134.02,2450745.8589,1.04,1.11,0.74,16.535,1.132,15.721,1.304,19.415,8.888,2760.8,116.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679617290240,-1973868557543329124,4700196557783451058
10.684203,41.229759,0.25,0.24,1,00424420+4113471,14.429,0.0,0.0,0.0,15.337,0.1746,0.1748,10.94,13.601,0.0,0.0,0.0,UCU,20,10,000,1300,9.4,234,1287660635,2,0,1287660621,n,1997-10-24,8,121.172378,-21.612136,0.73903471875,0.139431036987,0.659080169939,90.76,2450745.8589,0.0,2.07,0.0,0.0,0.0,14.372,0.563,0.0,0.0,2819.4,160.1,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679617887744,-6580681275096145770,-4940248471634708368
10.684694,41.234661,0.22,0.21,8,00424432+4114047,15.485,0.1669,0.1673,20.82,13.892,0.0,0.0,0.0,15.002,0.215,0.2152,9.03,CUC,202,101,000,50005,6.6,342,1287660550,2,0,1287660570,n,1997-10-24,8,121.172967,-21.607251,0.738978110505,0.139426915058,0.659144511888,89.42,2450745.8589,2.09,0.0,0.47,17.776,1.988,0.0,0.0,15.564,0.334,2801.7,161.4,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679618203648,-7702585681372000520,-4155567347777833786
10.680752,41.230938,0.23,0.22,101,00424338+4113513,14.549,0.0,0.0,0.0,13.921,0.0,0.0,0.0,14.772,0.201,0.2012,11.16,UUC,2,1,000,4,9.9,170,1287660635,2,0,1287660609,n,1997-10-24,8,121.169635,-21.610863,0.739029788153,0.139384010107,0.659095645524,100.1,2450745.8589,0.0,0.0,0.63,0.0,0.0,0.0,0.0,14.931,0.377,2815.2,150.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679618753024,7229203221696634078,5895600687005433009
10.685368,41.242329,0.2,0.17,76,00424448+4114323,13.693,0.0,0.0,0.0,14.257,0.1625,0.1627,29.59,12.925,0.0,0.0,0.0,UCU,20,10,000,500,4.6,20,1287660444,2,0,1287660463,n,1997-10-24,8,121.173811,-21.599606,0.738889778782,0.139419250427,0.659245149715,87.58,2450745.8589,0.0,2.93,0.0,0.0,0.0,14.374,0.186,0.0,0.0,2774.1,163.3,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679619824128,5311031588684185257,-701445514595197773
10.68285,41.23967,0.22,0.2,5,00424388+4114228,15.527,0.1458,0.1463,20.03,13.237,0.0,0.0,0.0,12.928,0.0,0.0,0.0,BUU,200,200,c00,50000,2.3,172,1287660513,2,0,1287660504,n,1997-10-24,8,121.171672,-21.602195,0.738925968582,0.139392449234,0.659210253297,94.4,2450745.8589,1.37,0.0,0.0,14.997,0.165,0.0,0.0,0.0,0.0,2783.7,156.5,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679620277248,-8383465145635912785,7886575091126144356
10.682973,41.239025,0.13,0.13,93,00424391+4114204,13.937,0.0,0.0,0.0,14.875,0.1514,0.1516,16.75,14.222,0.1253,0.1256,18.52,UBB,22,11,000,505,2.3,352,1287660504,2,0,1287660513,n,1997-10-24,8,121.171746,-21.602843,0.738932961647,0.139395411178,0.659201788176,94.07,2450745.8589,0.0,1.76,3.05,0.0,0.0,14.21,0.168,13.813,0.06,2786.0,156.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679620358656,134439382947291038,1161622768853525765
10.685155,41.24025,0.25,0.24,79,00424443+4114249,13.874,0.0,0.0,0.0,13.155,0.0,0.0,0.0,14.662,0.1989,0.1991,12.35,UUC,2,1,000,5,6.6,251,1287660504,2,0,1287660496,n,1997-10-24,8,121.173558,-21.601678,0.73891380279,0.139420938709,0.659217865273,88.16,2450745.8589,0.0,0.0,0.91,0.0,0.0,0.0,0.0,14.121,0.193,2781.6,162.7,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203679621664768,5159969094163309581,-1370629244376110362
