r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
0.41,33.2,11.6,2.21,28.95,0.0,455.28,0.0,ESO079-G014,LTG,,,,
0.98,50.4,11.8,4.41,47.6,0.0,284.5,0.0,ESO079-G014,LTG,,,,
1.78,53.9,9.75,6.75,62.09,0.0,213.32,0.0,ESO079-G014,LTG,,,,
2.69,67.6,5.1,8.55,75.48,0.0,152.2,0.0,ESO079-G014,LTG,,,,
3.36,81.7,5.06,9.18,82.21,0.0,142.61,0.0,ESO079-G014,LTG,,,,
4.39,102.0,5.35,9.29,86.87,0.0,105.73,0.0,ESO079-G014,LTG,,,,
5.65,116.0,6.44,9.5,92.23,0.0,92.69,0.0,ESO079-G014,LTG,,,,
6.34,132.0,9.1,10.22,96.19,0.0,89.82,0.0,ESO079-G014,LTG,,,,
6.89,137.0,5.25,11.87,100.53,0.0,87.61,0.0,ESO079-G014,LTG,,,,
8.34,154.0,4.2,17.23,113.81,0.0,78.45,0.0,ESO079-G014,LTG,,,,
10.04,163.0,3.28,24.23,128.72,0.0,58.05,0.0,ESO079-G014,LTG,,,,
11.65,170.0,2.41,30.75,133.41,0.0,39.79,0.0,ESO079-G014,LTG,,,,
13.36,175.0,2.18,36.2,132.99,0.0,23.18,0.0,ESO079-G014,LTG,,,,
15.06,177.0,2.23,39.42,128.51,0.0,15.89,0.0,ESO079-G014,LTG,,,,
16.67,178.0,2.03,40.49,124.23,0.0,10.92,0.0,ESO079-G014,LTG,,,,
0.25,20.9,3.4,-0.22,17.33,0.0,276.94,0.0,ESO116-G012,LTG,,,,
0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,ESO116-G012,LTG,,,,
1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,ESO116-G012,LTG,,,,
1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,ESO116-G012,LTG,,,,
2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,ESO116-G012,LTG,,,,
3.19,83.3,3.08,16.68,63.17,0.0,41.4,0.0,ESO116-G012,LTG,,,,
3.68,91.4,2.83,20.19,65.14,0.0,30.23,0.0,ESO116-G012,LTG,,,,
4.13,102.0,5.4,22.31,66.32,0.0,24.2,0.0,ESO116-G012,LTG,,,,
5.23,105.0,4.21,25.63,64.52,0.0,9.48,0.0,ESO116-G012,LTG,,,,
6.05,109.0,2.1,27.28,60.09,0.0,3.57,0.0,ESO116-G012,LTG,,,,
6.81,108.0,2.1,28.58,55.74,0.0,2.78,0.0,ESO116-G012,LTG,,,,
7.56,109.0,2.1,30.7,53.61,0.0,2.04,0.0,ESO116-G012,LTG,,,,
8.32,110.0,2.1,33.83,51.18,0.0,1.21,0.0,ESO116-G012,LTG,,,,
9.09,111.0,2.33,35.49,49.08,0.0,0.72,0.0,ESO116-G012,LTG,,,,
9.86,112.0,4.74,33.74,46.34,0.0,0.0,0.0,ESO116-G012,LTG,,,,
0.26,18.3,1.8,4.59,8.31,0.0,31.29,0.0,ESO444-G084,LTG,,,,
0.77,35.3,3.0,11.55,14.79,0.0,10.44,0.0,ESO444-G084,LTG,,,,
1.29,47.8,4.63,16.45,14.54,0.0,3.29,0.0,ESO444-G084,LTG,,,,
1.81,52.8,1.26,19.03,13.66,0.0,1.03,0.0,ESO444-G084,LTG,,,,
2.32,58.0,3.11,20.09,12.28,0.0,0.34,0.0,ESO444-G084,LTG,,,,
3.39,63.1,1.35,17.39,9.97,0.0,0.03,0.0,ESO444-G084,LTG,,,,
4.44,62.7,7.36,14.45,8.53,0.0,0.0,0.0,ESO444-G084,LTG,,,,
0.45,18.9,9.78,0.0,65.19,0.0,2096.34,0.0,ESO563-G021,LTG,,,,
1.34,58.3,10.5,0.0,120.17,0.0,997.68,0.0,ESO563-G021,LTG,,,,
2.23,74.1,5.69,0.0,137.48,0.0,691.26,0.0,ESO563-G021,LTG,,,,
3.12,119.0,4.27,0.0,146.18,0.0,574.33,0.0,ESO563-G021,LTG,,,,
4.01,141.0,3.76,0.0,157.86,0.0,548.02,0.0,ESO563-G021,LTG,,,,
4.9,195.0,4.54,0.0,175.79,0.0,524.14,0.0,ESO563-G021,LTG,,,,
5.79,227.0,4.2,0.0,199.19,0.0,483.52,0.0,ESO563-G021,LTG,,,,
6.69,246.0,4.24,0.0,217.87,0.0,426.75,0.0,ESO563-G021,LTG,,,,
7.58,268.0,5.56,0.0,228.65,0.0,376.92,0.0,ESO563-G021,LTG,,,,
8.47,283.0,2.96,0.0,241.76,0.0,345.98,0.0,ESO563-G021,LTG,,,,
10.23,291.0,9.81,0.0,260.94,0.0,282.74,0.0,ESO563-G021,LTG,,,,
12.06,310.0,4.74,0.04,275.04,0.0,199.54,0.0,ESO563-G021,LTG,,,,
13.44,310.0,20.4,0.4,277.98,0.0,164.72,0.0,ESO563-G021,LTG,,,,
15.18,310.0,16.1,3.11,282.25,0.0,131.46,0.0,ESO563-G021,LTG,,,,
16.83,314.0,13.5,15.18,283.33,0.0,96.52,0.0,ESO563-G021,LTG,,,,
18.56,317.0,12.7,22.91,276.47,0.0,70.44,0.0,ESO563-G021,LTG,,,,
20.3,319.0,10.4,33.06,272.19,0.0,62.6,0.0,ESO563-G021,LTG,,,,
21.94,318.0,10.8,33.62,273.0,0.0,50.58,0.0,ESO563-G021,LTG,,,,
23.68,317.0,9.3,39.67,271.34,0.0,32.65,0.0,ESO563-G021,LTG,,,,
25.41,317.0,7.23,44.98,261.62,0.0,19.67,0.0,ESO563-G021,LTG,,,,
27.06,312.0,8.39,46.29,252.97,0.0,13.79,0.0,ESO563-G021,LTG,,,,
28.8,312.0,8.37,43.21,243.84,0.0,7.98,0.0,ESO563-G021,LTG,,,,
