pl_name,pl_masse,pl_orbsmax
"WASP-12 b",444.96200000,
"WASP-17 b",162.09330000,
"WASP-19 b",362.32620000,
"WASP-39 b",88.99240000,
"Kepler-17 b",743.72220000,0.0260500000
"Kepler-12 b",136.66690000,0.0555000000
"CoRoT-2 b",1134.65310000,0.0283500000
"TrES-4 b",285.09351000,0.0502000000
"HAT-P-3 b",185.61272000,0.0384200000
"HAT-P-6 b",337.85329000,0.0524400000
"WASP-12 b",454.49690000,0.0230900000
"WASP-13 b",162.72896000,0.0557000000
"WASP-14 b",2510.85700000,0.0372000000
"WASP-18 b",3299.07540000,0.0204300000
"WASP-4 b",396.96967000,0.0231800000
"WASP-5 b",506.93885000,0.0274000000
"WASP-7 b",311.47340000,0.0624000000
"XO-2 N b",188.47319000,0.0361600000
"WASP-1 b",311.47340000,0.0392000000
"WASP-21 b",93.75985000,0.0516000000
"WASP-2 b",279.69040000,0.0309200000
"WASP-2 b",269.20201000,0.0303300000
"WASP-15 b",175.12433000,0.0499000000
"WASP-17 b",143.97699000,0.0500000000
"WASP-18 b",3213.26130000,0.0202000000
"WASP-4 b",397.28750000,0.0232000000
"WASP-5 b",494.22565000,0.0270900000
"WASP-4 b",376.94638000,0.0226000000
"KELT-9 b",775.50520000,
"HD 189733 b",370.58978000,0.0310600000
"WASP-2 b",295.89973000,0.0314400000
"WASP-18 b",3305.43200000,0.0208700000
"CoRoT-1 b",359.14790000,0.0261000000
"GJ 436 b",25.40000000,
"HAT-P-12 b",63.88383000,0.0376700000
"HAT-P-22 b",696.68336000,0.0417100000
"HAT-P-3 b",189.10885000,0.0387800000
"WASP-39 b",89.31023000,0.0482800000
"HAT-P-4 b",176.71348000,
"HAT-P-16 b",1332.66119000,
"HAT-P-23 b",664.26470000,
"HAT-P-8 b",483.10160000,0.0449000000
"HAT-P-20 b",2294.73260000,0.0359300000
"WASP-43 b",635.02434000,0.0150400000
"WASP-72 b",491.39696300,
"WASP-100 b",645.19490000,
"WASP-78 b",273.33380000,0.0367000000
"K2-113 b",410.00070000,0.0558000000
"WASP-139 b",37.18611000,0.0620000000
"TOI-1246 e",14.50000000,0.2120000000
"TOI-6894 b",53.39517238,0.0260400000
"WASP-76 b",289.22385037,0.0330400000
"WASP-76 b",284.13859586,0.0330000000
"KELT-3 b",467.20775829,
"WASP-50 b",467.20775829,
"GJ 436 b",23.13802400,0.0310900000
