LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
1.00155885,D,,0.85,0.68,,2,4.31,9007
1.00157089,,0.1,0.59,0.49,,1,,9001
1.00157214,,0.09,0.63,0.49,,2,,9001
1.00157214,,,0.63,0.49,,4,,9002
1.00157881,,1.18,1.34,1.16,,1,,9001
1.00157881,,,1.33,1.16,,9,7.48,9007
1.00160346,,,0.94,0.74,,5,6.45,9007
1.00160693,,0.03,0.61,0.52,,1,,9001
1.00161096,,1.22,1.18,0.82,,1,,9001
1.00161797,,0.41,0.77,0.57,,1,,9001
1.00161868,,0.01,0.04,0.0,,1,,9001
1.0016381,,-0.29,0.62,0.53,,1,,9001
1.00165195,,,1.27,1.04,,0,,9002
1.00165195,,,1.28,1.04,,12,,9003
1.00165341,,,0.85,0.69,,4,3.98,9007
1.00165908,,-0.04,0.54,0.47,,2,,9001
1.00165908,,,0.52,0.47,,4,,9002
1.00166208,,,0.93,0.69,,0,,9002
1.00166208,,,0.93,0.69,,14,,9003
1.0016662,,,0.88,0.73,,4,6.41,9007
1.00170153,,-0.01,0.51,0.48,,1,,9001
1.00170153,,,0.53,0.47,,5,3.65,9007
1.00172167,,,0.01,0.0,,3,0.13,9007
1.00173667,,0.04,0.48,0.4,,1,,9001
1.00175305,,0.14,0.77,0.64,,3,,9001
1.00176437,,-0.08,-0.04,0.01,,1,,9001
1.00178717,,1.82,1.81,1.25,,3,,9004
1.00182691,,-0.37,-0.08,-0.04,/,,6.54,9006
1.00184406,,,1.18,0.86,,0,,9002
1.00184406,,,1.16,0.86,,12,,9003
1.00185144,,0.41,0.82,0.66,,1,,9001
1.00185144,,,0.8,0.64,,6,4.68,9007
1.00186408,,0.17,0.64,0.5,,2,,9001
1.00186427,,0.18,0.65,0.51,,2,,9001
1.00187642,,,0.2,0.15,,3,0.85,9007
1.00187923,,0.15,0.65,0.52,,2,,9001
1.00188056,,,1.32,0.94,,0,,9002
1.00188056,,,1.3,0.93,,8,,9003
1.00188512,,0.49,0.85,0.65,,2,,9001
1.00188512,,,0.86,0.66,,8,,9002
